Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
462,0.032,0.042,0.040,0.114
463,0.032,0.042,0.040,0.114
464,0.032,0.042,0.040,0.114
465,0.033,0.043,0.040,0.116
466,0.033,0.042,0.040,0.115
467,0.033,0.043,0.040,0.116
468,0.033,0.043,0.040,0.116
469,0.033,0.042,0.040,0.115
470,0.032,0.042,0.040,0.114
471,0.032,0.042,0.040,0.114
472,0.032,0.042,0.040,0.114
473,0.032,0.042,0.040,0.114
474,0.033,0.042,0.040,0.115
475,0.033,0.042,0.040,0.115
476,0.033,0.043,0.040,0.116
477,0.033,0.043,0.040,0.116
478,0.033,0.043,0.040,0.116
479,0.032,0.043,0.040,0.115
480,0.033,0.043,0.040,0.116
481,0.033,0.043,0.043,0.119
482,0.033,0.042,0.040,0.115
483,0.033,0.042,0.040,0.115
484,0.033,0.042,0.039,0.114
485,0.032,0.042,0.040,0.114
486,0.032,0.042,0.040,0.114
487,0.032,0.042,0.040,0.114
488,0.032,0.042,0.039,0.113
489,0.033,0.042,0.040,0.115
490,0.033,0.042,0.040,0.115
491,0.033,0.042,0.040,0.115
492,0.033,0.042,0.040,0.115
493,0.033,0.043,0.040,0.116
494,0.033,0.042,0.040,0.115
495,0.032,0.042,0.040,0.114
496,0.033,0.042,0.040,0.115
497,0.033,0.042,0.040,0.115
498,0.034,0.043,0.041,0.118
499,0.033,0.042,0.040,0.115
500,0.033,0.042,0.039,0.114
501,0.032,0.042,0.040,0.114
502,0.032,0.042,0.040,0.114
503,0.033,0.042,0.040,0.115
504,0.032,0.043,0.040,0.115
505,0.034,0.044,0.041,0.119
506,0.033,0.043,0.040,0.116
507,0.033,0.043,0.040,0.116
508,0.032,0.042,0.040,0.114
509,0.033,0.042,0.040,0.115
510,0.032,0.042,0.040,0.114
511,0.032,0.042,0.040,0.114
512,0.033,0.042,0.040,0.115
513,0.033,0.042,0.040,0.115
514,0.033,0.043,0.040,0.116
515,0.033,0.043,0.042,0.118
516,0.033,0.042,0.040,0.115
517,0.033,0.042,0.040,0.115
518,0.033,0.042,0.040,0.115
519,0.033,0.042,0.040,0.115
520,0.033,0.043,0.040,0.116
521,0.033,0.043,0.040,0.116
522,0.033,0.043,0.040,0.116
523,0.034,0.044,0.041,0.119
524,0.033,0.043,0.040,0.116
525,0.033,0.043,0.040,0.116
526,0.033,0.043,0.040,0.116
527,0.034,0.043,0.041,0.118
528,0.032,0.042,0.040,0.114
529,0.032,0.042,0.040,0.114
530,0.033,0.042,0.039,0.114
531,0.032,0.042,0.040,0.114
532,0.032,0.042,0.040,0.114
533,0.032,0.042,0.040,0.114
534,0.033,0.043,0.040,0.116
535,0.032,0.042,0.040,0.114
536,0.032,0.043,0.040,0.115
537,0.033,0.043,0.040,0.116
538,0.033,0.043,0.040,0.116
539,0.033,0.043,0.040,0.116
