Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
399,0.109,0.134,0.150,0.393
400,0.109,0.135,0.150,0.394
401,0.109,0.134,0.150,0.393
402,0.110,0.135,0.152,0.397
403,0.117,0.136,0.153,0.406
404,0.110,0.135,0.151,0.396
405,0.110,0.135,0.151,0.396
406,0.110,0.136,0.151,0.397
407,0.110,0.135,0.151,0.396
408,0.110,0.135,0.151,0.396
409,0.110,0.135,0.151,0.396
410,0.109,0.134,0.151,0.394
411,0.109,0.134,0.151,0.394
412,0.111,0.135,0.151,0.397
413,0.114,0.136,0.152,0.402
414,0.111,0.135,0.152,0.398
415,0.110,0.135,0.151,0.396
416,0.110,0.135,0.151,0.396
417,0.114,0.137,0.154,0.405
418,0.110,0.135,0.151,0.396
419,0.110,0.135,0.151,0.396
420,0.110,0.135,0.151,0.396
421,0.110,0.135,0.152,0.397
422,0.110,0.135,0.151,0.396
423,0.117,0.136,0.151,0.404
424,0.110,0.135,0.151,0.396
425,0.109,0.135,0.151,0.395
426,0.110,0.135,0.151,0.396
427,0.110,0.135,0.152,0.397
428,0.110,0.135,0.151,0.396
429,0.110,0.135,0.151,0.396
430,0.110,0.135,0.151,0.396
431,0.110,0.135,0.152,0.397
432,0.111,0.137,0.153,0.401
433,0.118,0.136,0.151,0.405
434,0.110,0.136,0.152,0.398
435,0.110,0.135,0.150,0.395
436,0.111,0.136,0.152,0.399
437,0.110,0.134,0.150,0.394
438,0.110,0.135,0.152,0.397
439,0.110,0.135,0.151,0.396
440,0.110,0.135,0.151,0.396
441,0.117,0.138,0.154,0.409
442,0.110,0.139,0.157,0.406
443,0.122,0.138,0.155,0.415
444,0.112,0.136,0.152,0.400
445,0.110,0.135,0.152,0.397
446,0.110,0.135,0.151,0.396
447,0.110,0.135,0.152,0.397
448,0.110,0.135,0.151,0.396
449,0.111,0.135,0.152,0.398
450,0.109,0.134,0.151,0.394
451,0.109,0.135,0.151,0.395
452,0.110,0.136,0.152,0.398
453,0.119,0.137,0.151,0.407
454,0.109,0.135,0.152,0.396
455,0.111,0.138,0.152,0.401
456,0.110,0.135,0.151,0.396
457,0.110,0.135,0.151,0.396
458,0.110,0.136,0.151,0.397
459,0.109,0.135,0.151,0.395
460,0.110,0.135,0.151,0.396
461,0.110,0.134,0.152,0.396
462,0.110,0.136,0.151,0.397
463,0.120,0.136,0.151,0.407
464,0.111,0.136,0.152,0.399
465,0.111,0.136,0.153,0.400
466,0.111,0.136,0.151,0.398
467,0.110,0.136,0.151,0.397
468,0.109,0.135,0.154,0.398
469,0.109,0.135,0.151,0.395
470,0.110,0.136,0.151,0.397
471,0.110,0.134,0.151,0.395
472,0.110,0.135,0.151,0.396
473,0.121,0.137,0.152,0.410
474,0.110,0.135,0.151,0.396
475,0.109,0.134,0.151,0.394
