Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
536,kyber1024,0.0989,0.1182,0.1324,0.3495
537,kyber1024,0.0983,0.1168,0.1311,0.3462
538,kyber1024,0.0995,0.1217,0.1362,0.3574
539,kyber1024,0.0980,0.1183,0.1324,0.3487
540,kyber1024,0.1081,0.1194,0.1334,0.3609
541,kyber1024,0.0978,0.1254,0.1317,0.3549
542,kyber1024,0.0973,0.1176,0.1314,0.3463
543,kyber1024,0.0988,0.1191,0.1336,0.3515
544,kyber1024,0.1182,0.1168,0.1308,0.3658
545,kyber1024,0.0977,0.1173,0.1292,0.3442
546,kyber1024,0.0986,0.1183,0.1373,0.3542
547,kyber1024,0.1288,0.4692,0.1334,0.7314
548,kyber1024,0.1047,0.1224,0.1403,0.3674
549,kyber1024,0.0982,0.1169,0.1317,0.3468
550,kyber1024,0.1088,0.1193,0.1341,0.3622
551,kyber1024,0.1083,0.1210,0.1317,0.3610
552,kyber1024,0.0991,0.1171,0.1314,0.3476
553,kyber1024,0.1088,0.1160,0.1340,0.3588
554,kyber1024,0.0983,0.1210,0.1307,0.3500
555,kyber1024,0.1090,0.1184,0.1334,0.3608
556,kyber1024,0.1081,0.1177,0.1372,0.3630
557,kyber1024,0.1104,0.1173,0.1326,0.3603
558,kyber1024,0.0995,0.1141,0.1329,0.3465
559,kyber1024,0.0986,0.1178,0.1384,0.3548
560,kyber1024,0.0997,0.1134,0.1326,0.3457
561,kyber1024,0.0992,0.1173,0.1325,0.3490
562,kyber1024,0.0995,0.1182,0.1427,0.3604
563,kyber1024,0.0990,0.1186,0.1333,0.3509
564,kyber1024,0.0990,0.1166,0.1315,0.3471
565,kyber1024,0.0991,0.1220,0.1322,0.3533
566,kyber1024,0.0992,0.1188,0.2705,0.4885
567,kyber1024,0.1172,0.1229,0.1388,0.3789
568,kyber1024,0.0992,0.1183,0.1321,0.3496
569,kyber1024,0.1087,0.1206,0.1336,0.3629
570,kyber1024,0.0982,0.1266,0.1312,0.3560
571,kyber1024,0.0989,0.1174,0.1319,0.3482
572,kyber1024,0.0971,0.1114,0.1311,0.3396
573,kyber1024,0.1088,0.1224,0.1329,0.3641
574,kyber1024,0.0979,0.1178,0.1317,0.3474
