Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
988,kyber1024,0.1014,0.1137,0.1289,0.3440
989,kyber1024,0.0974,0.1128,0.1283,0.3385
990,kyber1024,0.0967,0.1124,0.1275,0.3366
991,kyber1024,0.0992,0.1121,0.1264,0.3377
992,kyber1024,0.0967,0.1119,0.1273,0.3359
993,kyber1024,0.0974,0.1128,0.1319,0.3421
994,kyber1024,0.0961,0.1121,0.1271,0.3353
995,kyber1024,0.0959,0.1113,0.1278,0.3350
996,kyber1024,0.0987,0.1126,0.1365,0.3478
997,kyber1024,0.0970,0.1124,0.3052,0.5146
998,kyber1024,0.0978,0.1164,0.1261,0.3403
999,kyber1024,0.0974,0.1177,0.1257,0.3408
1000,kyber1024,0.1000,0.1153,0.1296,0.3449
