Version,Iteration,KeyGenTime,EncapTime,DecapTime,EncryptTime,DecryptTime,TotalTime
ML-KEM-768,659,0.1412,0.0944,0.1136,0.0314,0.0106,0.3912
ML-KEM-768,660,0.1610,0.0998,0.1134,0.0357,0.0109,0.4208
ML-KEM-768,661,0.1292,0.0982,0.1140,0.0331,0.0114,0.3859
ML-KEM-768,662,0.1322,0.0954,0.1123,0.0301,0.0109,0.3810
ML-KEM-768,663,0.1301,0.0953,0.1144,0.0311,0.0109,0.3818
ML-KEM-768,664,0.1607,0.0716,0.0802,0.0309,0.0730,0.4164
ML-KEM-768,665,0.1328,0.0859,0.0840,0.0491,0.0105,0.3623
ML-KEM-768,666,0.1328,0.0768,0.0845,0.0442,0.0112,0.3496
ML-KEM-768,667,0.1147,0.0699,0.0826,0.0386,0.0104,0.3162
ML-KEM-768,668,0.1131,0.0701,0.0998,0.0370,0.0109,0.3309
ML-KEM-768,669,0.1052,0.0699,0.0816,0.0346,0.0092,0.3005
ML-KEM-768,670,0.0940,0.0679,0.0829,0.0258,0.0080,0.2786
ML-KEM-768,671,0.1066,0.0699,0.0837,0.0283,0.0093,0.2978
ML-KEM-768,672,0.1047,0.0822,0.0846,0.0851,0.0174,0.3739
ML-KEM-768,673,0.1358,0.0779,0.0823,0.0287,0.0098,0.3345
ML-KEM-768,674,0.1118,0.0689,0.0813,0.0636,0.0179,0.3435
ML-KEM-768,675,0.0953,0.0664,0.0929,0.0319,0.0140,0.3005
ML-KEM-768,676,0.1780,0.0907,0.0955,0.0398,0.0123,0.4164
ML-KEM-768,677,0.1291,0.0730,0.0990,0.0335,0.0095,0.3441
ML-KEM-768,678,0.1125,0.0699,0.0807,0.0289,0.0129,0.3049
ML-KEM-768,679,0.0917,0.1249,0.0865,0.0177,0.0186,0.3394
ML-KEM-768,680,0.1010,0.0812,0.0831,0.0274,0.0086,0.3014
ML-KEM-768,681,0.0986,0.0760,0.0802,0.0209,0.0073,0.2830
ML-KEM-768,682,0.0884,0.0707,0.0806,0.0214,0.0077,0.2688
ML-KEM-768,683,0.0980,0.0686,0.0797,0.0241,0.0083,0.2788
ML-KEM-768,684,0.0914,0.0712,0.0802,0.0216,0.0082,0.2727
ML-KEM-768,685,0.0882,0.0716,0.0809,0.0189,0.0068,0.2663
ML-KEM-768,686,0.0985,0.0680,0.0804,0.0212,0.0068,0.2749
ML-KEM-768,687,0.0982,0.0752,0.0807,0.0261,0.0089,0.2891
ML-KEM-768,688,0.1075,0.0729,0.0822,0.0491,0.0136,0.3252
ML-KEM-768,689,0.1217,0.0816,0.0831,0.0545,0.0171,0.3580
ML-KEM-768,690,0.1065,0.0806,0.0825,0.0267,0.0087,0.3049
ML-KEM-768,691,0.1031,0.0708,0.0800,0.0207,0.0076,0.2822
ML-KEM-768,692,0.0937,0.0666,0.0796,0.0163,0.0070,0.2632
ML-KEM-768,693,0.0839,0.0664,0.0798,0.0155,0.0063,0.2520
ML-KEM-768,694,0.0837,0.0767,0.0955,0.0158,0.0059,0.2775
ML-KEM-768,695,0.0916,0.0668,0.0797,0.0153,0.0064,0.2597
ML-KEM-768,696,0.0815,0.0654,0.0785,0.0126,0.0062,0.2442
ML-KEM-768,697,0.0782,0.0691,0.0881,0.0145,0.0059,0.2558
ML-KEM-768,698,0.0816,0.0659,0.0793,0.0147,0.0059,0.2474
ML-KEM-768,699,0.0785,0.0652,0.0786,0.0142,0.0059,0.2423
ML-KEM-768,700,0.0813,0.0648,0.0781,0.0138,0.0062,0.2442
ML-KEM-768,701,0.0965,0.0684,0.0802,0.0165,0.0056,0.2671
ML-KEM-768,702,0.0807,0.0705,0.0787,0.0142,0.0063,0.2504
ML-KEM-768,703,0.0856,0.0661,0.0793,0.0159,0.0056,0.2524
ML-KEM-768,704,0.0779,0.0748,0.0803,0.0170,0.0062,0.2563
ML-KEM-768,705,0.0853,0.0729,0.0806,0.0226,0.0077,0.2691
ML-KEM-768,706,0.1098,0.0836,0.0975,0.0254,0.0081,0.3244
ML-KEM-768,707,0.1405,0.0753,0.0984,0.0365,0.0086,0.3593
ML-KEM-768,708,0.1577,0.0964,0.0983,0.0430,0.0111,0.4065
ML-KEM-768,709,0.1350,0.0808,0.1052,0.0422,0.0113,0.3745
ML-KEM-768,710,0.1200,0.0692,0.0812,0.0210,0.0076,0.2990
ML-KEM-768,711,0.0998,0.0672,0.0797,0.0158,0.0066,0.2691
ML-KEM-768,712,0.0999,0.0673,0.0804,0.0164,0.0066,0.2705
ML-KEM-768,713,0.0932,0.0719,0.0800,0.0125,0.0055,0.2631
ML-KEM-768,714,0.0927,0.0675,0.0792,0.0117,0.0099,0.2610
ML-KEM-768,715,0.1006,0.0668,0.0785,0.0111,0.0056,0.2626
ML-KEM-768,716,0.0923,0.0663,0.0788,0.0108,0.0055,0.2536
ML-KEM-768,717,0.0914,0.0657,0.0780,0.0102,0.0058,0.2511
ML-KEM-768,718,0.0855,0.0756,0.0803,0.0100,0.0054,0.2568
ML-KEM-768,719,0.0916,0.0674,0.0790,0.0119,0.0053,0.2552
ML-KEM-768,720,0.0919,0.0659,0.0781,0.0121,0.0053,0.2533
ML-KEM-768,721,0.0876,0.0687,0.0783,0.0202,0.0054,0.2603
ML-KEM-768,722,0.0883,0.0658,0.0784,0.0101,0.0053,0.2479
ML-KEM-768,723,0.0882,0.0652,0.0788,0.0130,0.0056,0.2507
ML-KEM-768,724,0.0898,0.0664,0.0902,0.0107,0.0082,0.2652
ML-KEM-768,725,0.0960,0.0698,0.0787,0.0136,0.0061,0.2642
ML-KEM-768,726,0.0905,0.0660,0.0786,0.0124,0.0060,0.2535
ML-KEM-768,727,0.0973,0.0700,0.0783,0.0114,0.0060,0.2631
ML-KEM-768,728,0.1031,0.0805,0.0835,0.0216,0.0070,0.2958
ML-KEM-768,729,0.0944,0.0735,0.0795,0.0165,0.0064,0.2705
ML-KEM-768,730,0.0800,0.0653,0.0780,0.0122,0.0057,0.2412
ML-KEM-768,731,0.0798,0.0805,0.0838,0.0127,0.0066,0.2634
ML-KEM-768,732,0.0898,0.0661,0.0785,0.0138,0.0061,0.2543
ML-KEM-768,733,0.0814,0.0670,0.0789,0.0134,0.0055,0.2461
ML-KEM-768,734,0.0972,0.0692,0.0794,0.0182,0.0064,0.2705
ML-KEM-768,735,0.0931,0.0665,0.0794,0.0181,0.0059,0.2630
ML-KEM-768,736,0.0871,0.0671,0.0793,0.0144,0.0057,0.2536
ML-KEM-768,737,0.0887,0.0708,0.0787,0.0160,0.0059,0.2602
ML-KEM-768,738,0.0907,0.0670,0.0795,0.0153,0.0062,0.2588
ML-KEM-768,739,0.0807,0.0800,0.0788,0.0161,0.0072,0.2628
ML-KEM-768,740,0.0925,0.0787,0.0838,0.0200,0.0072,0.2821
ML-KEM-768,741,0.0934,0.0675,0.0798,0.0188,0.0068,0.2662
ML-KEM-768,742,0.0836,0.0661,0.0843,0.0148,0.0059,0.2547
ML-KEM-768,743,0.0903,0.0803,0.0859,0.0151,0.0061,0.2778
ML-KEM-768,744,0.0843,0.0661,0.0836,0.0162,0.0070,0.2572
ML-KEM-768,745,0.0985,0.0748,0.0799,0.0197,0.0069,0.2797
ML-KEM-768,746,0.0962,0.0712,0.0971,0.0244,0.0075,0.2964
ML-KEM-768,747,0.1175,0.0769,0.0822,0.0260,0.0081,0.3107
ML-KEM-768,748,0.1188,0.0711,0.0805,0.0228,0.0070,0.3001
ML-KEM-768,749,0.1172,0.0744,0.0810,0.0214,0.0073,0.3013
ML-KEM-768,750,0.1091,0.0723,0.0805,0.0229,0.0076,0.2924
ML-KEM-768,751,0.1041,0.0688,0.0832,0.0177,0.0067,0.2804
ML-KEM-768,752,0.1064,0.0716,0.0795,0.0187,0.0064,0.2826
ML-KEM-768,753,0.0950,0.0718,0.0799,0.0173,0.0068,0.2707
ML-KEM-768,754,0.0866,0.0809,0.0804,0.0196,0.0070,0.2745
ML-KEM-768,755,0.1036,0.0681,0.0791,0.0154,0.0065,0.2728
ML-KEM-768,756,0.0937,0.0680,0.0791,0.0185,0.0071,0.2666
ML-KEM-768,757,0.0912,0.0668,0.0789,0.0157,0.0061,0.2586
ML-KEM-768,758,0.1033,0.0788,0.0803,0.0190,0.0070,0.2885
ML-KEM-768,759,0.1064,0.0700,0.0789,0.0181,0.0068,0.2801
ML-KEM-768,760,0.0914,0.0673,0.0798,0.0180,0.0064,0.2628
ML-KEM-768,761,0.1017,0.0720,0.0856,0.0170,0.0070,0.2833
ML-KEM-768,762,0.0921,0.0677,0.0797,0.0175,0.0065,0.2634
ML-KEM-768,763,0.0904,0.0664,0.0785,0.0154,0.0068,0.2575
ML-KEM-768,764,0.0999,0.0693,0.0821,0.0165,0.0068,0.2746
ML-KEM-768,765,0.0962,0.0675,0.0795,0.0191,0.0070,0.2693
ML-KEM-768,766,0.0945,0.0683,0.0808,0.0185,0.0064,0.2685
ML-KEM-768,767,0.1138,0.0734,0.0799,0.0222,0.0069,0.2962
ML-KEM-768,768,0.1055,0.0706,0.0803,0.0219,0.0070,0.2853
ML-KEM-768,769,0.1104,0.0753,0.0819,0.0243,0.0082,0.3001
ML-KEM-768,770,0.1213,0.0708,0.0799,0.0224,0.0075,0.3018
ML-KEM-768,771,0.1018,0.0684,0.0799,0.0186,0.0071,0.2758
ML-KEM-768,772,0.0958,0.0691,0.0803,0.0193,0.0070,0.2715
ML-KEM-768,773,0.0978,0.0739,0.0800,0.0179,0.0065,0.2761
ML-KEM-768,774,0.1019,0.0697,0.0797,0.0206,0.0074,0.2794
ML-KEM-768,775,0.1023,0.0684,0.0800,0.0178,0.0065,0.2751
ML-KEM-768,776,0.1034,0.0739,0.0893,0.0333,0.0088,0.3088
ML-KEM-768,777,0.1341,0.0893,0.0863,0.0339,0.0089,0.3523
ML-KEM-768,778,0.1353,0.0766,0.0864,0.0395,0.0106,0.3483
ML-KEM-768,779,0.1348,0.0717,0.0934,0.0343,0.0093,0.3434
ML-KEM-768,780,0.1386,0.0749,0.0832,0.0310,0.0095,0.3373
ML-KEM-768,781,0.1195,0.0843,0.0868,0.0285,0.0087,0.3279
ML-KEM-768,782,0.1249,0.0715,0.0828,0.0296,0.0083,0.3170
ML-KEM-768,783,0.1266,0.0721,0.0835,0.0319,0.0100,0.3242
ML-KEM-768,784,0.1410,0.0754,0.0836,0.0291,0.0082,0.3373
ML-KEM-768,785,0.1377,0.0849,0.0855,0.0307,0.0092,0.3480
ML-KEM-768,786,0.1468,0.0809,0.0918,0.0303,0.0086,0.3585
ML-KEM-768,787,0.1316,0.0831,0.0875,0.0263,0.0077,0.3362
ML-KEM-768,788,0.1214,0.1045,0.0843,0.0282,0.0085,0.3468
ML-KEM-768,789,0.1677,0.0942,0.1004,0.0459,0.0281,0.4363
ML-KEM-768,790,0.1570,0.1058,0.1137,0.0358,0.0114,0.4237
ML-KEM-768,791,0.1355,0.1041,0.1287,0.0312,0.0105,0.4101
ML-KEM-768,792,0.1360,0.0999,0.1259,0.0410,0.0443,0.4471
ML-KEM-768,793,0.1457,0.1252,0.1098,0.0581,0.0142,0.4530
ML-KEM-768,794,0.1794,0.1038,0.1096,0.0665,0.0157,0.4750
ML-KEM-768,795,0.1732,0.1000,0.1115,0.0615,0.0195,0.4657
ML-KEM-768,796,0.1660,0.0775,0.1256,0.0505,0.0126,0.4322
ML-KEM-768,797,0.1684,0.0932,0.0969,0.0550,0.0130,0.4265
ML-KEM-768,798,0.1827,0.0938,0.0922,0.0615,0.0107,0.4410
ML-KEM-768,799,0.1854,0.0961,0.0897,0.0487,0.0103,0.4302
ML-KEM-768,800,0.1792,0.0906,0.1012,0.0479,0.0105,0.4293
ML-KEM-768,801,0.1730,0.0958,0.1192,0.0453,0.0124,0.4457
ML-KEM-768,802,0.1538,0.0834,0.0883,0.0533,0.0126,0.3915
ML-KEM-768,803,0.1493,0.0923,0.0899,0.0368,0.0093,0.3777
ML-KEM-768,804,0.1251,0.0755,0.0821,0.0375,0.0094,0.3296
ML-KEM-768,805,0.1247,0.0714,0.0932,0.0332,0.0103,0.3328
ML-KEM-768,806,0.1230,0.0801,0.0832,0.0308,0.0087,0.3258
ML-KEM-768,807,0.1107,0.0710,0.0817,0.0295,0.0095,0.3025
ML-KEM-768,808,0.1131,0.0734,0.0826,0.0369,0.0127,0.3186
ML-KEM-768,809,0.1132,0.0875,0.0987,0.0360,0.0098,0.3453
ML-KEM-768,810,0.1370,0.0717,0.0851,0.0259,0.0091,0.3288
ML-KEM-768,811,0.1073,0.0732,0.0823,0.0322,0.0092,0.3042
ML-KEM-768,812,0.1115,0.0724,0.0912,0.0299,0.0089,0.3138
ML-KEM-768,813,0.1013,0.0691,0.0934,0.0221,0.0075,0.2934
ML-KEM-768,814,0.0922,0.0669,0.0798,0.0169,0.0065,0.2623
ML-KEM-768,815,0.1005,0.0807,0.0810,0.0274,0.0084,0.2981
ML-KEM-768,816,0.1218,0.0894,0.1129,0.0416,0.0108,0.3766
