Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
0.5649,0.2957,0.3220,1.5212,1.2943
0.5611,0.2764,0.3033,1.3859,1.2651
0.4575,0.2782,0.3083,1.0766,1.1596
0.7039,0.2774,0.3092,1.0759,1.4013
0.4494,0.2797,0.3102,1.8156,1.1559
0.8762,0.2975,0.3059,1.4880,1.5843
0.4602,0.2812,0.3060,1.4334,1.1584
0.4320,0.2906,0.3147,1.4563,1.1297
1.2207,0.3027,0.3088,1.3586,1.9012
0.4502,0.2787,0.3041,1.3103,1.1568
0.5529,0.2890,0.3432,1.2563,1.3155
0.4345,0.2939,0.3219,1.3170,1.1418
1.0497,0.2885,0.3395,1.0968,1.7690
0.5319,0.2757,0.3060,1.8228,1.2861
1.4364,0.2951,0.3249,1.5318,2.1805
1.5733,0.2787,0.3067,1.3208,2.3416
0.4597,0.2861,0.3122,2.0628,1.1781
0.6966,0.3376,0.3093,1.5738,1.4333
0.7177,0.2777,0.3112,1.0791,1.4112
0.6701,0.2900,0.3052,1.6911,1.4097
0.6613,0.4095,0.4664,1.5877,1.5242
0.6490,0.4199,0.4641,1.4705,1.5892
0.7322,0.2832,0.3156,1.8297,1.5154
0.7060,0.2766,0.3070,1.4488,1.3701
0.4290,0.2784,0.3228,1.4014,1.1131
0.4309,0.3066,0.3084,1.1908,1.0962
0.6745,0.2967,0.3118,1.0742,1.3394
0.6759,0.2779,0.3044,1.1566,1.3476
0.4499,0.2727,0.3039,1.0340,1.0999
0.4442,0.2779,0.3079,1.0083,1.0686
0.4281,0.2750,0.3238,1.5923,1.0625
1.8261,0.2729,0.3020,1.3551,2.4328
0.6760,0.2913,0.3020,1.6291,1.3026
0.8151,0.2748,0.3044,1.1656,1.4680
1.3838,0.3037,0.3108,1.7569,2.0441
1.3526,0.2822,0.3067,1.6436,2.0776
0.6812,0.3237,0.3343,1.3292,1.4336
1.4074,0.2801,0.3057,1.3865,2.1492
0.5695,0.2837,0.3267,1.3961,1.3193
2.2554,0.2722,0.3175,1.1931,2.9507
0.4252,0.2746,0.3164,1.3350,1.1360
0.4352,0.2747,0.2995,1.4578,1.1196
0.5453,0.2746,0.3046,1.0565,1.2268
0.6980,0.2890,0.2990,1.2104,1.4206
0.6960,0.2974,0.3126,1.2076,1.3953
0.7172,0.2762,0.3233,1.6158,1.4382
0.8167,0.2839,0.3276,1.4098,1.5371
0.4574,0.3679,0.3629,1.3140,1.1966
1.0781,0.2866,0.3129,1.8479,1.7688
0.4558,0.3347,0.4612,1.1695,1.3193
0.8806,0.4276,0.4177,1.5493,1.7781
0.6307,0.4310,0.3241,1.5213,1.4149
1.4040,0.2922,0.3296,1.1823,2.1893
1.3297,0.2884,0.3173,1.1790,2.1005
0.9174,0.3108,0.3146,1.2803,1.6770
1.3379,0.2870,0.3113,1.4284,2.0365
0.4496,0.2943,0.3192,1.9701,1.2550
0.9748,0.2787,0.3268,1.9907,1.7082
0.4347,0.3046,0.3195,1.3835,1.1828
0.4430,0.2961,0.3102,2.3456,1.1366
0.5732,0.2873,0.3185,1.4729,1.2789
0.9541,0.2908,0.3243,1.2682,1.6788
1.4504,0.2808,0.3383,1.4502,2.1793
1.2226,0.4246,0.4824,1.2516,2.0791
1.0072,0.2885,0.3557,1.1182,1.7522
1.7264,0.2889,0.3447,1.1947,2.4824
1.7401,0.2870,0.3098,3.3131,2.5431
0.7742,0.3218,0.3152,2.3645,1.5070
0.4576,0.3018,0.3096,1.2788,1.1739
0.4601,0.3276,0.3104,1.7672,1.2212
0.5015,0.2917,0.3257,1.4206,1.2950
0.9079,0.3058,0.3110,1.1556,1.6455
0.5722,0.2823,0.3116,1.3344,1.2844
0.4886,0.3945,0.3862,1.3614,1.2696
0.8134,0.2773,0.3097,2.2007,1.5407
0.9229,0.2814,0.3025,1.7316,1.6587
1.0755,0.2983,0.3046,1.2570,1.8152
1.1636,0.2780,0.3431,1.8474,1.9976
1.6715,0.4213,0.4147,2.4453,2.5502
2.5360,0.4081,0.3339,1.8861,3.3219
0.4542,0.2957,0.3094,1.0744,1.1277
0.6854,0.2972,0.3199,1.4240,1.4386
0.4670,0.2859,0.3124,1.2749,1.2026
0.6888,0.2947,0.3318,1.4375,1.4663
1.1889,0.2861,0.3101,1.7475,1.9055
0.5980,0.2885,0.3293,1.1122,1.3219
0.8299,0.2924,0.3275,1.3983,1.5364
0.5573,0.2899,0.3293,1.4630,1.2923
0.5767,0.2918,0.3095,1.5276,1.3112
0.6928,0.2824,0.3204,1.7830,1.4592
1.0359,0.4168,0.4410,2.0244,1.9721
1.7029,0.4156,0.4463,2.0665,2.6470
1.1809,0.2866,0.3097,1.4701,1.8854
1.0012,0.2861,0.3071,1.2145,1.6839
0.4530,0.2826,0.3039,1.3387,1.1734
0.4569,0.2831,0.3180,1.2346,1.1813
0.5575,0.2808,0.3192,1.0740,1.2586
1.0173,0.4211,0.4413,3.0996,1.9442
1.1307,0.3999,0.4579,1.6905,2.0836
0.6277,0.4045,0.4516,2.0699,1.5793
0.5876,0.2796,0.3130,1.5266,1.2932
0.4401,0.3095,0.3108,2.4515,1.1277
0.5813,0.2766,0.3081,1.2326,1.2680
0.4993,0.3259,0.3500,1.6571,1.2336
1.1591,0.3962,0.3384,1.8467,1.9952
0.7958,0.2955,0.3526,3.2181,1.5482
0.9899,0.3266,0.3430,1.4064,1.7861
2.1033,0.3141,0.3289,1.4694,2.8605
1.3678,0.2926,0.3189,1.1800,2.1265
0.7820,0.2912,0.3156,1.8245,1.4858
2.6110,0.2827,0.3092,1.3124,3.3605
0.5554,0.2809,0.3388,1.2155,1.2899
1.5503,0.2954,0.3051,1.3662,2.2402
1.2181,0.2750,0.3085,1.5046,1.9426
0.4438,0.2894,0.3241,1.5565,1.1441
0.4367,0.2880,0.3047,2.1727,1.1198
1.2089,0.2763,0.3137,2.2681,1.9108
0.9439,0.2910,0.3034,2.6890,1.5997
0.6568,0.2863,0.3041,1.0606,1.3174
1.0626,0.2976,0.3170,1.0861,1.7506
0.4484,0.2750,0.3224,1.1753,1.1470
0.8061,0.2870,0.3125,1.0838,1.4957
1.2865,0.2993,0.3220,1.3161,1.9766
1.2378,0.2866,0.3187,1.6112,1.9375
0.6995,0.2780,0.3081,1.4438,1.3830
0.8521,0.2868,0.3203,1.5971,1.5574
1.4603,0.2849,0.3127,1.0696,2.1483
2.1514,0.4059,0.4479,2.3183,3.0755
0.8337,0.4142,0.4448,1.6652,1.7700
0.6958,0.4212,0.4899,1.9845,1.7331
1.5697,0.2923,0.3267,1.3561,2.4171
0.6063,0.2880,0.3214,1.0773,1.3027
1.2643,0.2912,0.3138,1.0544,1.9258
0.4412,0.2849,0.3574,1.6971,1.1739
1.2812,0.2906,0.3429,1.1285,2.0073
0.5790,0.2882,0.3270,1.9058,1.2537
1.9667,0.2975,0.3417,1.1200,2.6783
1.0808,0.3334,0.3603,1.5093,1.9235
0.7441,0.3185,0.3332,2.0827,1.4876
1.2099,0.2909,0.3537,1.1143,1.9435
0.4713,0.2971,0.3166,1.5743,1.1458
0.5314,0.2983,0.3270,1.5548,1.2699
0.4459,0.2859,0.3532,1.2638,1.1822
0.8936,0.2998,0.3241,1.4629,1.5958
1.4506,0.3032,0.3322,2.4998,2.2168
0.5768,0.2940,0.3148,1.1212,1.2916
1.0087,0.3135,0.3238,1.7371,1.7092
0.5628,0.2831,0.3317,1.0634,1.2501
0.5872,0.2854,0.3282,1.1350,1.3288
1.0331,0.3192,0.3395,1.4797,1.7493
0.6764,0.4256,0.4616,1.9496,1.6341
0.8153,0.2933,0.3299,1.2556,1.5376
0.6266,0.3633,0.3671,1.9097,1.3760
0.8643,0.2852,0.3125,1.2411,1.5638
1.8634,0.4262,0.4528,1.4750,2.7883
1.8852,0.4126,0.4342,2.4512,2.8468
0.6608,0.4086,0.4586,1.9998,1.6351
1.2433,0.4121,0.4542,1.7237,2.1855
2.3960,0.2842,0.3044,2.0675,3.2282
0.6679,0.2769,0.3222,1.0433,1.3445
0.6847,0.3001,0.3051,1.3265,1.3320
1.2091,0.2977,0.3067,1.4226,1.8585
0.5780,0.2805,0.3088,1.1355,1.3355
2.8484,0.2873,0.3087,1.2178,3.5489
0.4315,0.2755,0.3147,1.0544,1.1039
0.8921,0.3175,0.3029,1.0498,1.5215
0.7958,0.2912,0.3234,1.3693,1.4566
0.6946,0.2832,0.3161,1.5544,1.3619
1.0665,0.3196,0.3079,1.1020,1.7467
0.6897,0.2801,0.3014,1.0493,1.3334
0.6854,0.2833,0.3196,1.2831,1.3583
0.4600,0.2768,0.3237,1.8896,1.1240
0.6091,0.2808,0.3094,1.9239,1.2655
2.6429,0.2775,0.3178,1.0440,3.3060
1.1827,0.2799,0.3041,1.0329,1.8281
0.8493,0.2827,0.3347,1.0560,1.5486
0.4412,0.2904,0.3122,1.0420,1.0940
0.4438,0.2789,0.3256,1.2893,1.1131
0.5670,0.2795,0.3165,2.0491,1.2162
1.2754,0.2887,0.3148,1.0642,1.9427
0.9434,0.2797,0.3209,1.6493,1.6023
0.6593,0.2806,0.3118,1.0455,1.3123
1.5205,0.2766,0.3033,1.4009,2.1815
0.5694,0.2733,0.3016,1.0356,1.2248
0.5835,0.2789,0.3102,1.0449,1.2517
0.7189,0.2765,0.3271,1.0646,1.4245
0.7999,0.3105,0.3017,1.1858,1.4485
0.4394,0.2826,0.3233,1.7763,1.1045
0.9455,0.2965,0.3047,1.9738,1.5886
0.5900,0.2769,0.3018,1.1392,1.2338
1.0079,0.2911,0.3027,1.3027,1.6541
1.3860,0.2957,0.3077,1.0960,2.0710
0.8335,0.2755,0.3017,1.0528,1.4883
0.8208,0.2875,0.3069,1.5452,1.4844
0.5747,0.2821,0.3175,1.4301,1.2470
0.6769,0.2873,0.3210,1.1645,1.3357
1.4054,0.2829,0.3128,1.7726,2.0525
1.0065,0.2901,0.3028,1.0615,1.6716
