Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
827,0.208,0.144,0.310,0.663
828,0.169,0.158,0.309,0.636
829,0.166,0.139,0.320,0.625
830,0.196,0.153,0.306,0.656
831,0.204,0.144,0.303,0.651
832,0.168,0.140,0.312,0.620
833,0.149,0.132,0.304,0.585
834,0.164,0.132,0.302,0.598
835,0.151,0.133,0.332,0.616
836,0.156,0.135,0.302,0.593
837,0.180,0.147,0.317,0.644
838,0.176,0.165,0.346,0.688
839,0.223,0.192,0.395,0.810
840,0.246,0.274,0.400,0.920
841,0.228,0.170,0.354,0.752
842,0.270,0.207,0.355,0.832
843,0.180,0.140,0.306,0.626
844,0.172,0.157,0.313,0.642
845,0.164,0.145,0.330,0.638
846,0.171,0.137,0.296,0.603
847,0.164,0.135,0.297,0.595
848,0.148,0.133,0.314,0.595
849,0.165,0.150,0.316,0.632
850,0.186,0.137,0.304,0.627
851,0.176,0.147,0.330,0.653
852,0.198,0.144,0.309,0.651
853,0.169,0.137,0.322,0.628
854,0.209,0.144,0.309,0.663
855,0.185,0.140,0.317,0.642
856,0.178,0.143,0.298,0.619
857,0.168,0.139,0.302,0.608
858,0.148,0.132,0.319,0.600
859,0.169,0.151,0.312,0.632
860,0.234,0.173,0.368,0.776
861,0.267,0.189,0.406,0.861
862,0.276,0.182,0.346,0.805
863,0.238,0.163,0.335,0.737
864,0.235,0.209,0.349,0.793
865,0.242,0.160,0.337,0.740
866,0.212,0.153,0.329,0.694
867,0.213,0.154,0.308,0.675
868,0.238,0.159,3.445,3.842
869,0.232,0.137,0.243,0.612
870,0.143,0.110,0.259,0.512
871,0.132,0.108,0.232,0.472
872,0.124,0.115,0.243,0.482
873,0.119,0.104,0.225,0.449
874,0.118,0.121,0.240,0.479
875,0.113,0.103,0.224,0.439
876,0.147,0.126,0.240,0.513
877,0.112,0.104,0.215,0.431
878,0.113,0.115,0.219,0.447
879,0.174,0.125,0.249,0.548
880,0.176,0.126,0.248,0.549
881,0.134,0.108,0.248,0.490
882,0.128,0.107,0.224,0.458
883,0.120,0.106,0.255,0.481
884,0.226,0.160,0.354,0.740
885,0.164,0.119,0.238,0.521
886,0.135,0.122,0.228,0.485
887,0.126,0.106,0.236,0.468
888,0.124,0.120,0.223,0.468
889,0.110,0.101,0.223,0.433
890,0.109,0.114,0.221,0.445
891,0.110,0.101,0.219,0.430
892,0.110,0.111,0.232,0.453
893,0.115,0.103,0.227,0.445
894,0.121,0.107,0.251,0.479
895,0.220,0.137,0.243,0.601
896,0.167,0.143,0.242,0.551
897,0.143,0.109,0.246,0.498
898,0.162,0.127,0.250,0.539
899,0.177,0.109,0.230,0.516
900,0.152,0.107,0.221,0.480
901,0.146,0.104,0.230,0.480
902,0.147,0.104,0.231,0.482
903,0.113,0.102,0.217,0.432
904,0.119,0.123,0.221,0.463
905,0.127,0.121,0.225,0.473
906,0.115,0.112,0.223,0.450
907,0.110,0.102,0.217,0.429
908,0.126,0.108,0.234,0.468
909,0.157,0.116,0.260,0.533
910,0.172,0.142,0.238,0.553
911,0.120,0.142,0.225,0.486
912,0.118,0.115,0.228,0.461
913,0.112,0.103,0.250,0.466
914,0.241,0.117,0.235,0.593
915,0.119,0.118,0.247,0.484
916,0.184,0.148,0.284,0.616
917,0.170,0.121,0.243,0.534
918,0.144,0.115,0.237,0.496
919,0.142,0.114,0.231,0.487
920,0.127,0.105,0.242,0.473
921,0.116,0.103,0.233,0.452
922,0.119,0.104,0.243,0.467
923,0.154,0.118,0.236,0.508
924,0.138,0.119,0.230,0.486
925,0.113,0.102,0.228,0.442
926,0.174,0.134,0.236,0.544
927,0.143,0.107,0.230,0.481
928,0.123,0.103,0.220,0.447
929,0.115,0.102,0.234,0.452
930,0.121,0.100,0.221,0.443
931,0.110,0.100,0.222,0.431
932,0.115,0.101,0.223,0.439
933,0.108,0.101,0.223,0.431
934,0.122,0.100,0.226,0.448
935,0.105,0.099,0.216,0.420
936,0.126,0.101,0.219,0.446
937,0.106,0.112,0.218,0.436
938,0.130,0.103,0.221,0.455
939,0.127,0.113,0.238,0.479
940,0.165,0.113,0.259,0.537
941,0.171,0.138,0.277,0.586
942,0.146,0.108,0.228,0.482
943,0.106,0.115,0.224,0.445
944,0.113,0.101,0.233,0.447
945,0.236,0.141,0.284,0.661
946,0.160,0.111,0.246,0.517
947,0.108,0.101,0.220,0.429
948,0.109,0.101,0.234,0.444
949,0.114,0.102,0.222,0.438
950,0.115,0.101,0.237,0.453
951,0.107,0.100,0.219,0.426
952,0.107,0.102,0.230,0.439
953,0.115,0.099,0.212,0.427
954,0.106,0.098,0.215,0.420
955,0.109,0.099,0.214,0.422
956,0.104,0.099,0.223,0.426
957,0.101,0.111,0.216,0.428
958,0.107,0.100,0.217,0.424
959,0.109,0.099,0.230,0.437
960,0.105,0.099,0.224,0.428
961,0.102,0.099,0.229,0.430
962,0.110,0.100,0.223,0.433
963,0.101,0.098,0.230,0.430
964,0.104,0.098,0.218,0.421
965,0.103,0.099,0.220,0.422
966,0.112,0.101,0.224,0.438
967,0.115,0.108,0.235,0.458
968,0.133,0.107,0.241,0.482
969,0.130,0.110,0.242,0.482
970,0.123,0.105,0.232,0.459
971,0.113,0.103,0.247,0.463
972,0.139,0.119,0.252,0.510
973,0.149,0.152,0.268,0.569
974,0.167,0.118,0.246,0.531
975,0.140,0.105,0.225,0.471
976,0.118,0.113,0.235,0.466
977,0.109,0.099,0.218,0.426
978,0.116,0.110,0.273,0.499
979,0.191,0.128,0.255,0.574
980,0.129,0.118,0.227,0.474
981,0.113,0.101,0.228,0.441
982,0.134,0.106,0.224,0.463
983,0.102,0.099,0.231,0.433
984,0.114,0.099,0.215,0.428
985,0.100,0.099,0.219,0.418
986,0.102,0.107,0.215,0.424
987,0.100,0.098,0.213,0.411
988,0.101,0.098,0.227,0.427
989,0.099,0.099,0.214,0.412
990,0.101,0.101,0.223,0.425
991,0.101,0.099,0.219,0.419
992,0.103,0.103,0.218,0.424
993,0.112,0.099,0.217,0.427
994,0.100,0.098,0.219,0.417
995,0.098,0.109,0.215,0.423
996,0.101,0.109,0.213,0.422
997,0.101,0.099,0.227,0.427
998,0.103,0.098,0.220,0.421
999,0.100,0.098,0.231,0.429
1000,0.103,0.098,0.216,0.416
