Iteración,Tiempo Generación Claves (ms),Tiempo Firma Pequeña (ms),Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
768,0.2890,0.3575,0.3015,0.1696,0.1945,0.8161,0.7850
769,0.2998,0.4296,0.4946,0.2354,0.3035,0.9648,1.0978
770,0.3730,0.5261,0.4758,0.2568,0.2793,1.1559,1.1281
771,0.4109,0.8012,2.3567,0.2432,0.2769,1.4552,3.0444
772,0.3646,0.8836,0.6925,0.2585,0.2683,1.5067,1.3254
773,0.3673,0.9334,0.7528,0.2659,0.2746,1.5665,1.3947
774,0.3873,0.3821,0.4014,0.2457,0.2719,1.0152,1.0607
775,0.3603,0.7240,0.3842,0.1956,0.1943,1.2799,0.9389
776,0.2898,0.5319,0.7789,0.2448,0.2154,1.0665,1.2841
777,0.2984,0.7543,0.3952,0.1685,0.1986,1.2212,0.8922
778,0.3022,1.0147,0.5530,0.1703,0.2164,1.4872,1.0716
779,0.2710,0.2750,0.3657,0.1681,0.2371,0.7141,0.8738
780,0.3578,0.6667,0.7453,0.1703,0.1954,1.1948,1.2985
781,0.3158,0.3857,0.9134,0.2133,0.2181,0.9148,1.4473
782,0.3316,0.3712,1.8800,0.2220,0.2054,0.9248,2.4170
783,0.2816,0.5890,0.9603,0.1760,0.1984,1.0466,1.4402
784,0.3049,0.2687,0.3024,0.1719,0.2591,0.7455,0.8664
785,0.2915,0.5206,0.5097,0.1916,0.2620,1.0037,1.0632
786,0.3102,0.6088,0.3833,0.2293,0.2987,1.1483,0.9921
787,0.3045,1.8896,0.4099,0.2565,0.2673,2.4506,0.9818
788,0.3464,1.3464,0.3929,0.1723,0.2772,1.8652,1.0165
789,0.3123,0.5913,0.3685,0.2295,0.3051,1.1331,0.9860
790,0.3450,1.0822,0.4075,0.1693,0.2108,1.5965,0.9633
791,0.3146,0.3564,0.7668,0.1715,0.2313,0.8425,1.3126
792,0.3707,1.6799,1.6772,0.1725,0.2415,2.2231,2.2894
793,0.2921,0.2654,0.7133,0.1748,0.2369,0.7323,1.2423
794,0.3623,0.4570,1.7166,0.2431,0.2848,1.0624,2.3637
795,0.3018,0.5266,0.5886,0.2287,0.2561,1.0571,1.1465
796,0.2949,0.8460,0.5765,0.2556,0.2878,1.3965,1.1592
797,0.3904,0.3859,0.7209,0.2607,0.2849,1.0371,1.3962
798,0.4074,0.4869,0.9543,0.2230,0.2533,1.1173,1.6149
799,0.3707,0.5715,0.6959,0.2310,0.2734,1.1732,1.3399
800,0.3561,0.4055,0.9158,0.2248,0.3270,0.9864,1.5989
801,0.2944,0.6763,1.7674,0.1736,0.1945,1.1442,2.2563
802,0.3147,0.4229,0.3828,0.1893,0.1968,0.9269,0.8942
803,0.2743,0.7783,0.8933,0.1785,0.1952,1.2311,1.3629
804,0.3510,0.3381,0.3411,0.1912,0.2547,0.8803,0.9468
805,0.3853,0.4675,0.3686,0.2606,0.2718,1.1134,1.0257
806,0.3699,1.5693,0.9310,0.2396,0.2931,2.1788,1.5940
807,0.3174,0.6357,0.7500,0.2563,0.2686,1.2094,1.3360
808,0.2880,0.3628,0.9873,0.2592,0.2764,0.9101,1.5517
809,0.3575,0.7244,1.0436,0.2687,0.2886,1.3507,1.6898
810,0.3732,0.5794,0.5396,0.2506,0.2749,1.2031,1.1877
811,0.3969,0.9654,1.4756,0.2498,0.2903,1.6122,2.1628
812,0.3861,1.0903,1.3784,0.2687,0.3167,1.7451,2.0812
813,0.3449,0.4299,1.5155,0.2459,0.3135,1.0207,2.1740
814,0.3525,1.2621,2.3465,0.2700,0.3230,1.8846,3.0219
815,0.3523,0.8007,0.9988,0.1736,0.2024,1.3266,1.5535
816,0.3032,0.2668,0.3946,0.1880,0.1960,0.7580,0.8938
817,0.2653,0.5246,1.8436,0.1870,0.2352,0.9769,2.3441
818,0.3183,1.3866,0.5320,0.2295,0.1952,1.9344,1.0455
819,0.2902,0.5193,0.2870,0.1731,0.1949,0.9825,0.7721
820,0.2649,0.5157,0.3098,0.1690,0.1938,0.9495,0.7685
821,0.2483,0.9552,0.9577,0.1862,0.2002,1.3898,1.4063
822,0.2549,0.8165,0.7124,0.1738,0.1938,1.2451,1.1610
823,0.2637,0.7131,1.3532,0.1718,0.2081,1.1486,1.8249
824,0.2673,0.5112,0.4120,0.1729,0.2164,0.9513,0.8957
825,0.2726,3.3211,0.6030,0.1686,0.2004,3.7623,1.0760
826,0.2959,0.6102,2.6672,0.1817,0.1947,1.0878,3.1578
827,0.2640,0.3523,0.6566,0.1706,0.1940,0.7868,1.1146
828,0.2849,0.6925,0.5032,0.1755,0.1951,1.1529,0.9831
829,0.2839,0.3775,0.4051,0.1928,0.1994,0.8541,0.8884
830,0.2743,0.3534,0.7794,0.1959,0.1947,0.8237,1.2484
831,0.2645,0.7109,0.2945,0.1670,0.2217,1.1424,0.7808
832,0.2601,0.5399,0.5429,0.1680,0.2029,0.9680,1.0060
833,0.2761,0.6908,0.2918,0.1671,0.1990,1.1340,0.7669
834,0.2530,0.4977,0.6456,0.1716,0.1940,0.9223,1.0927
835,0.2739,1.1978,0.3677,0.1705,0.1962,1.6422,0.8378
836,0.2673,0.7077,0.4666,0.1674,0.1987,1.1423,0.9326
837,0.2479,0.3554,0.5375,0.1669,0.1944,0.7701,0.9798
838,0.2282,0.4176,0.4326,0.1657,0.2089,0.8116,0.8697
839,0.2192,0.3282,2.9258,0.2937,0.3121,0.8411,3.4571
840,0.3904,0.5003,1.5468,0.2613,0.2873,1.1521,2.2245
841,0.3913,0.7535,1.1791,0.1712,0.2036,1.3160,1.7740
842,0.3049,0.3503,0.4557,0.1875,0.2320,0.8427,0.9925
843,0.3091,2.1058,0.9199,0.1817,0.2511,2.5966,1.4801
844,0.3127,0.2758,0.3176,0.1724,0.2014,0.7609,0.8317
845,0.3751,0.4558,0.3795,0.1764,0.2099,1.0074,0.9646
