Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
151,falcon-512,pequeño,10.4049,0.9413,0.0860,11.4321
152,falcon-512,pequeño,10.7828,1.0343,0.0758,11.8928
153,falcon-512,pequeño,28.9421,0.9536,0.0731,29.9688
154,falcon-512,pequeño,10.2680,0.9484,0.0728,11.2892
155,falcon-512,pequeño,8.0164,0.9320,0.0945,9.0428
156,falcon-512,pequeño,7.4229,0.9645,0.0733,8.4607
157,falcon-512,pequeño,7.4386,0.9197,0.0723,8.4305
158,falcon-512,pequeño,10.1074,0.9391,0.0741,11.1207
159,falcon-512,pequeño,7.4248,0.9611,0.0760,8.4620
160,falcon-512,pequeño,16.0286,0.9507,0.0853,17.0646
161,falcon-512,pequeño,7.5120,0.9245,0.0746,8.5112
162,falcon-512,pequeño,10.3156,0.9508,0.0727,11.3390
163,falcon-512,pequeño,7.0032,0.9593,0.0860,8.0485
164,falcon-512,pequeño,17.3668,1.7323,0.0841,19.1833
165,falcon-512,pequeño,7.0284,0.9405,0.0706,8.0396
166,falcon-512,pequeño,7.6971,0.9406,0.0797,8.7173
167,falcon-512,pequeño,11.0238,0.9452,0.0735,12.0425
168,falcon-512,pequeño,24.6496,1.0205,0.0745,25.7446
169,falcon-512,pequeño,12.3411,1.0643,0.1129,13.5183
170,falcon-512,pequeño,8.6210,0.9335,0.0718,9.6263
171,falcon-512,pequeño,11.4652,1.1065,0.1425,12.7142
172,falcon-512,pequeño,7.6238,0.9464,0.0741,8.6443
173,falcon-512,pequeño,8.2646,0.9610,0.0716,9.2973
174,falcon-512,pequeño,7.6886,0.9074,0.0723,8.6682
175,falcon-512,pequeño,10.9323,0.9088,0.0740,11.9151
176,falcon-512,pequeño,7.9045,1.8184,0.0851,9.8080
177,falcon-512,pequeño,8.0562,0.9340,0.0733,9.0635
178,falcon-512,pequeño,9.2988,0.9684,0.1172,10.3843
179,falcon-512,pequeño,13.7125,0.9232,0.0713,14.7070
180,falcon-512,pequeño,6.9434,0.9487,0.0674,7.9596
181,falcon-512,pequeño,8.5336,0.9760,0.0672,9.5768
182,falcon-512,pequeño,7.2083,0.9539,0.0653,8.2275
183,falcon-512,pequeño,9.1674,0.9567,0.0673,10.1914
184,falcon-512,pequeño,12.2537,1.0918,0.0660,13.4115
185,falcon-512,pequeño,7.7634,0.9357,0.0656,8.7647
186,falcon-512,pequeño,9.4318,0.9798,0.0672,10.4788
187,falcon-512,pequeño,7.2003,0.9715,0.1064,8.2782
188,falcon-512,pequeño,7.9219,1.0070,0.0670,8.9959
189,falcon-512,pequeño,8.1438,1.0449,0.0668,9.2555
190,falcon-512,pequeño,8.6636,0.9683,0.0700,9.7020
191,falcon-512,pequeño,10.5690,0.9523,0.0644,11.5857
192,falcon-512,pequeño,19.1622,1.1670,0.0906,20.4197
193,falcon-512,pequeño,11.1096,1.0339,0.0668,12.2103
194,falcon-512,pequeño,11.5910,0.9590,0.0694,12.6194
195,falcon-512,pequeño,8.8194,0.9382,0.0838,9.8414
196,falcon-512,pequeño,12.4620,0.9769,0.0637,13.5025
197,falcon-512,pequeño,8.0878,0.9462,0.1329,9.1669
198,falcon-512,pequeño,13.2055,0.9176,0.0648,14.1879
199,falcon-512,pequeño,8.2856,1.1088,0.0767,9.4711
200,falcon-512,pequeño,13.3063,0.9197,0.0604,14.2864
201,falcon-512,pequeño,7.4886,0.9965,0.0888,8.5738
202,falcon-512,pequeño,8.8045,1.0317,0.0774,9.9136
203,falcon-512,pequeño,11.0212,0.9971,0.0645,12.0828
204,falcon-512,pequeño,9.2658,0.9437,0.0628,10.2723
205,falcon-512,pequeño,8.5597,0.9361,0.0615,9.5573
206,falcon-512,pequeño,8.1581,0.9225,0.0609,9.1415
207,falcon-512,pequeño,7.5005,1.0565,0.0672,8.6241
208,falcon-512,pequeño,12.7375,0.9350,0.0601,13.7326
209,falcon-512,pequeño,10.0505,0.9268,0.0648,11.0421
210,falcon-512,pequeño,12.0154,0.9225,0.0617,12.9995
211,falcon-512,pequeño,11.6972,0.9769,0.0662,12.7403
212,falcon-512,pequeño,7.1575,0.9515,0.0640,8.1731
213,falcon-512,pequeño,7.1179,0.9371,0.0617,8.1167
214,falcon-512,pequeño,7.9851,0.9777,0.0614,9.0242
215,falcon-512,pequeño,6.7917,0.9086,0.0615,7.7617
216,falcon-512,pequeño,8.9792,0.9207,0.0613,9.9612
217,falcon-512,pequeño,12.3077,0.9618,0.0653,13.3348
218,falcon-512,pequeño,11.0204,0.9312,0.0607,12.0124
219,falcon-512,pequeño,10.3680,0.9411,0.0664,11.3755
220,falcon-512,pequeño,10.7844,1.0090,0.0630,11.8564
221,falcon-512,pequeño,10.0379,0.9256,0.0700,11.0335
222,falcon-512,pequeño,7.2735,0.9156,0.0604,8.2495
223,falcon-512,pequeño,7.9000,0.9232,0.0624,8.8856
224,falcon-512,pequeño,9.7581,0.9166,0.0607,10.7355
225,falcon-512,pequeño,10.1564,0.8698,0.0567,11.0829
226,falcon-512,pequeño,10.2459,0.8658,0.0571,11.1688
227,falcon-512,pequeño,6.7182,0.8610,0.0572,7.6363
228,falcon-512,pequeño,13.4490,0.8763,0.0570,14.3823
229,falcon-512,pequeño,8.7831,0.9120,0.0609,9.7560
230,falcon-512,pequeño,10.1648,0.8942,0.0586,11.1176
231,falcon-512,pequeño,11.5967,0.8753,0.0592,12.5312
232,falcon-512,pequeño,8.6071,0.8712,0.0572,9.5355
233,falcon-512,pequeño,7.7979,0.8569,0.0568,8.7116
