Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
792,falcon-1024,grande,24.2200,1.8736,0.1654,26.2589
793,falcon-1024,grande,33.0065,1.8631,0.1630,35.0325
794,falcon-1024,grande,41.1987,1.8834,0.1654,43.2476
795,falcon-1024,grande,23.2758,1.8821,0.1680,25.3259
796,falcon-1024,grande,35.2138,1.8707,0.1664,37.2510
797,falcon-1024,grande,19.3897,1.8866,0.1654,21.4417
798,falcon-1024,grande,23.8119,1.8856,0.1651,25.8626
799,falcon-1024,grande,20.2479,1.8615,0.1675,22.2769
800,falcon-1024,grande,20.7041,1.8635,0.1636,22.7312
801,falcon-1024,grande,19.4061,1.8729,0.1637,21.4427
802,falcon-1024,grande,20.3152,1.9016,0.1697,22.3866
803,falcon-1024,grande,22.6047,1.8756,0.1651,24.6454
804,falcon-1024,grande,21.5883,1.8665,0.1636,23.6184
805,falcon-1024,grande,23.8879,1.8763,0.1640,25.9283
806,falcon-1024,grande,21.7341,1.8623,0.1640,23.7603
807,falcon-1024,grande,22.5004,1.8620,0.1630,24.5255
808,falcon-1024,grande,22.3773,1.8690,0.1632,24.4095
809,falcon-1024,grande,19.3769,3.1537,0.1695,22.7001
810,falcon-1024,grande,20.7219,1.8869,0.1688,22.7776
811,falcon-1024,grande,59.1138,1.8737,0.1642,61.1517
812,falcon-1024,grande,24.6381,1.8642,0.1678,26.6702
813,falcon-1024,grande,19.8361,2.1349,0.2015,22.1725
814,falcon-1024,grande,42.2175,1.9066,0.1676,44.2916
815,falcon-1024,grande,23.4821,1.8641,0.1639,25.5101
816,falcon-1024,grande,21.3263,1.8721,0.1632,23.3616
817,falcon-1024,grande,23.1838,1.8674,0.1671,25.2183
818,falcon-1024,grande,23.7360,1.8756,0.1654,25.7770
819,falcon-1024,grande,30.9183,1.8858,0.1661,32.9702
820,falcon-1024,grande,21.0022,1.8686,0.1643,23.0351
821,falcon-1024,grande,21.8036,1.8643,0.1626,23.8305
822,falcon-1024,grande,22.5877,1.8670,0.1645,24.6192
823,falcon-1024,grande,28.5492,1.8773,0.1654,30.5919
824,falcon-1024,grande,31.8423,1.8705,0.1657,33.8785
825,falcon-1024,grande,21.1677,1.8967,0.1657,23.2301
826,falcon-1024,grande,20.0837,1.8517,0.1631,22.0984
827,falcon-1024,grande,21.2064,1.8805,0.1642,23.2511
828,falcon-1024,grande,22.1557,1.8717,0.1705,24.1979
829,falcon-1024,grande,37.1431,1.9202,0.1679,39.2312
830,falcon-1024,grande,28.4144,1.9035,0.1747,30.4925
831,falcon-1024,grande,21.9878,1.8644,0.1638,24.0160
832,falcon-1024,grande,20.9665,1.8786,0.1660,23.0111
833,falcon-1024,grande,25.0498,1.8899,0.1661,27.1058
834,falcon-1024,grande,24.4469,1.8877,0.1664,26.5011
835,falcon-1024,grande,19.6641,1.8825,0.1676,21.7142
836,falcon-1024,grande,35.1322,1.8938,0.1670,37.1930
837,falcon-1024,grande,22.6234,1.8551,0.1675,24.6460
838,falcon-1024,grande,25.2260,1.8799,0.1676,27.2735
839,falcon-1024,grande,22.0108,1.8835,0.1691,24.0635
840,falcon-1024,grande,28.0558,1.8601,0.1691,30.0850
