Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
53,34.899,1.153,0.115,36.167
54,97.343,1.170,0.142,98.655
55,135.385,1.152,0.102,136.639
56,117.924,1.174,0.086,119.184
57,379.030,1.176,0.094,380.299
58,372.752,1.140,0.081,373.973
59,75.987,1.093,0.101,77.181
60,38.536,1.124,0.083,39.744
61,107.581,1.113,0.089,108.783
62,209.774,1.232,0.097,211.103
63,50.878,1.127,0.102,52.106
64,173.851,1.158,0.569,175.577
65,347.194,1.149,0.085,348.428
66,227.197,1.114,0.083,228.393
67,50.361,1.115,0.076,51.551
68,67.329,1.126,0.078,68.532
69,122.460,1.138,0.083,123.680
70,117.686,1.112,0.078,118.876
71,152.619,1.244,0.086,153.948
72,174.826,1.132,0.092,176.050
73,156.220,1.122,0.077,157.419
74,199.584,1.125,0.076,200.786
75,102.064,1.134,0.077,103.275
76,129.617,1.146,0.087,130.849
77,179.026,1.123,0.077,180.226
78,28.558,1.102,0.082,29.741
79,70.549,1.163,0.082,71.794
80,108.287,1.141,0.084,109.513
81,139.177,1.138,0.078,140.394
82,341.444,1.124,0.078,342.646
83,93.387,1.113,0.077,94.577
84,75.786,1.142,0.140,77.068
85,166.149,1.168,0.087,167.404
86,109.183,1.185,0.086,110.454
87,131.566,1.116,0.085,132.767
88,93.539,1.123,0.079,94.741
89,217.682,1.115,0.088,218.884
90,287.748,1.117,0.075,288.940
91,435.806,1.157,0.076,437.039
92,71.941,1.116,0.099,73.156
93,50.238,1.118,0.077,51.433
94,88.676,1.129,0.094,89.899
95,154.820,1.114,0.077,156.011
96,155.352,1.131,0.127,156.609
97,87.793,1.129,0.075,88.997
98,229.714,1.129,0.079,230.922
99,291.381,1.124,0.074,292.580
100,141.835,1.115,0.075,143.025
101,126.775,1.120,0.091,127.986
102,92.488,1.130,0.064,93.682
103,195.458,1.125,0.061,196.644
104,198.547,1.138,0.066,199.751
105,40.543,1.109,0.062,41.713
106,113.361,1.119,0.061,114.541
107,75.029,1.112,0.081,76.222
108,159.383,1.130,0.063,160.576
109,173.657,1.131,0.061,174.848
110,344.279,1.133,0.070,345.481
111,87.950,1.143,0.067,89.159
112,38.808,1.119,0.061,39.988
113,159.949,1.109,0.072,161.129
114,120.399,1.146,0.084,121.628
115,113.071,1.134,0.066,114.271
116,214.831,1.108,0.064,216.002
117,143.944,1.139,0.062,145.145
118,117.282,1.147,0.064,118.493
119,54.457,1.110,0.061,55.629
120,260.727,1.133,0.061,261.920
121,85.583,1.120,0.069,86.772
122,500.508,1.160,0.076,501.744
123,59.009,1.138,0.079,60.226
124,290.435,1.123,0.061,291.619
125,97.987,1.105,0.079,99.171
126,78.111,1.138,0.091,79.339
127,257.324,1.170,0.073,258.567
128,259.370,1.141,0.148,260.659
129,177.360,1.173,0.065,178.598
130,32.592,1.114,0.080,33.785
131,153.061,1.307,0.092,154.459
132,74.506,1.125,0.060,75.692
133,76.638,1.123,0.060,77.821
134,165.203,1.108,0.070,166.381
135,28.570,1.113,0.074,29.757
136,269.221,1.121,0.059,270.401
137,81.370,1.105,0.071,82.545
138,35.623,1.098,0.066,36.787
139,50.382,1.100,0.059,51.540
140,130.310,1.113,0.061,131.484
141,104.846,1.123,0.059,106.028
142,135.056,1.107,0.066,136.229
143,57.777,1.107,0.061,58.944
144,147.649,1.119,0.061,148.829
145,80.064,1.120,0.059,81.243
146,141.911,1.117,0.110,143.138
147,123.923,1.167,0.062,125.152
148,62.993,1.106,0.070,64.169
149,278.202,1.153,0.062,279.418
150,131.591,1.138,0.091,132.820
151,297.521,1.113,0.066,298.700
152,155.911,1.140,0.061,157.112
153,52.827,1.105,0.058,53.989
154,132.195,1.102,0.070,133.367
155,95.948,1.156,0.063,97.167
156,55.193,1.086,0.056,56.334
157,178.773,1.110,0.056,179.939
158,390.859,1.093,0.057,392.010
159,25.790,1.157,0.057,27.004
160,71.662,1.127,0.061,72.849
161,52.540,1.119,0.066,53.725
162,78.658,1.101,0.058,79.817
163,208.536,1.100,0.058,209.693
164,194.571,1.117,0.062,195.750
165,82.640,1.113,0.060,83.813
166,68.130,1.157,0.059,69.346
167,46.696,1.106,0.058,47.860
168,103.975,1.107,0.057,105.139
169,284.439,1.115,0.057,285.610
170,50.501,1.104,0.057,51.663
171,106.685,1.118,0.058,107.861
172,184.065,1.101,0.057,185.223
173,237.509,1.110,0.057,238.676
174,126.245,1.102,0.060,127.407
175,266.607,1.160,0.059,267.825
176,45.445,1.114,0.058,46.617
177,77.386,1.097,0.056,78.539
178,220.718,1.104,0.059,221.880
179,180.473,1.113,0.057,181.642
180,52.180,1.119,0.072,53.371
181,22.413,1.075,0.056,23.544
182,159.882,1.127,0.057,161.066
183,154.793,1.105,0.062,155.960
184,114.749,1.113,0.059,115.920
185,100.931,1.148,0.065,102.144
186,100.154,1.126,0.064,101.344
187,60.002,1.112,0.057,61.171
188,83.276,1.132,0.059,84.466
189,241.455,1.121,0.071,242.647
190,351.997,1.108,0.073,353.178
191,28.827,1.072,0.055,29.954
192,41.860,1.119,0.096,43.075
193,68.492,1.132,0.073,69.696
194,100.395,1.100,0.056,101.552
195,93.790,1.070,0.053,94.913
196,59.490,1.115,0.055,60.660
197,175.715,1.121,0.057,176.893
198,33.359,1.083,0.055,34.497
199,87.920,1.068,0.056,89.043
200,60.488,1.067,0.063,61.619
201,109.519,1.077,0.055,110.650
202,90.904,1.069,0.054,92.027
203,300.968,1.109,0.056,302.132
204,303.782,1.120,0.057,304.958
205,113.606,1.087,0.058,114.751
206,153.951,1.072,0.054,155.078
207,146.912,1.121,0.056,148.089
208,95.397,1.101,0.060,96.558
209,74.182,1.106,0.055,75.343
210,166.176,1.112,0.056,167.344
211,164.772,1.117,0.058,165.948
212,76.912,1.087,0.055,78.053
213,29.682,1.068,0.053,30.803
214,181.729,1.130,0.060,182.919
215,121.438,1.118,0.056,122.611
216,48.309,1.068,0.053,49.431
217,28.891,1.057,0.053,30.001
218,172.578,1.083,0.054,173.716
219,39.219,1.073,0.053,40.345
220,405.095,1.127,0.060,406.281
221,82.321,1.100,0.056,83.476
222,256.699,1.097,0.055,257.851
223,108.552,1.100,0.055,109.707
224,95.726,1.084,0.057,96.867
225,34.784,1.105,0.056,35.945
226,161.320,1.134,0.059,162.514
227,41.844,1.077,0.058,42.979
228,185.329,1.079,0.058,186.466
229,34.458,1.075,0.057,35.590
230,259.103,1.103,0.055,260.261
231,262.612,1.106,0.059,263.776
232,230.903,1.141,0.058,232.102
233,94.107,1.065,0.053,95.225
234,236.844,1.134,0.059,238.037
235,41.416,1.161,0.054,42.631
236,110.492,1.069,0.053,111.614
237,52.246,1.055,0.053,53.353
238,82.549,1.093,0.065,83.707
239,160.334,1.123,0.056,161.513
240,77.378,1.080,0.066,78.524
241,70.242,1.119,0.062,71.423
242,43.632,1.123,0.082,44.836
243,61.303,1.140,0.093,62.536
244,78.999,1.110,0.056,80.165
245,59.447,1.073,0.073,60.593
246,143.072,1.135,0.075,144.282
247,96.540,1.089,0.054,97.683
248,71.822,1.078,0.054,72.954
249,125.974,1.136,0.064,127.175
250,105.826,1.072,0.053,106.950
251,106.112,1.071,0.054,107.237
252,56.834,1.107,0.062,58.003
253,326.249,1.115,0.083,327.447
254,186.412,1.115,0.079,187.606
255,63.096,1.152,0.063,64.312
256,263.846,1.147,0.163,265.157
257,63.144,1.163,0.055,64.362
258,63.851,1.077,0.052,64.981
259,53.575,1.117,0.055,54.746
260,93.797,1.104,0.054,94.956
261,129.302,1.073,0.052,130.427
262,159.653,1.112,0.055,160.820
263,40.539,1.048,0.074,41.661
264,142.577,1.176,0.056,143.810
265,253.806,1.109,0.056,254.971
266,190.542,1.137,0.056,191.735
267,106.069,1.116,0.053,107.238
268,303.328,1.112,0.056,304.496
269,81.652,1.092,0.053,82.797
270,53.949,1.055,0.051,55.055
271,89.159,1.109,0.062,90.330
272,175.784,1.112,0.056,176.952
273,160.953,1.097,0.057,162.107
274,104.991,1.074,0.052,106.118
275,64.669,1.065,0.051,65.785
276,115.896,1.083,0.055,117.033
277,173.429,1.152,0.055,174.636
278,178.131,1.114,0.056,179.302
279,87.481,1.093,0.053,88.627
280,138.244,1.104,0.053,139.401
281,41.868,1.056,0.050,42.974
282,230.671,1.098,0.066,231.835
283,24.667,1.117,0.056,25.841
284,299.782,1.106,0.059,300.947
285,114.593,1.080,0.059,115.732
286,259.981,1.125,0.055,261.161
