Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
977,Falcon512,grande,7.5697,1.1678,0.1216,8.8591
978,Falcon512,grande,16.2689,1.2638,0.1254,17.6581
979,Falcon512,grande,10.5117,1.4047,0.1209,12.0373
980,Falcon512,grande,10.0247,1.1936,0.1190,11.3373
981,Falcon512,grande,9.0185,1.3714,0.1281,10.5180
982,Falcon512,grande,12.6536,1.2145,0.1178,13.9859
983,Falcon512,grande,13.5107,1.3386,0.1198,14.9691
984,Falcon512,grande,16.5380,1.2389,0.1236,17.9005
985,Falcon512,grande,8.3681,1.3753,0.1274,9.8708
986,Falcon512,grande,11.3252,1.2622,0.1195,12.7069
987,Falcon512,grande,7.7356,1.3731,0.1242,9.2329
988,Falcon512,grande,7.8225,1.2004,0.1189,9.1418
989,Falcon512,grande,15.2955,1.3233,0.1210,16.7398
990,Falcon512,grande,7.3841,1.3113,0.1192,8.8146
991,Falcon512,grande,17.4622,1.3131,0.1218,18.8971
992,Falcon512,grande,10.3686,1.2066,0.1193,11.6945
993,Falcon512,grande,16.3594,1.3250,0.1211,17.8055
994,Falcon512,grande,16.2699,1.3143,0.1293,17.7135
995,Falcon512,grande,10.3266,1.1675,0.2536,11.7477
996,Falcon512,grande,7.5696,1.4719,0.1248,9.1663
997,Falcon512,grande,10.4131,1.5250,0.1231,12.0612
998,Falcon512,grande,12.6053,1.4519,0.1290,14.1862
999,Falcon512,grande,14.7954,1.4707,0.1230,16.3891
1000,Falcon512,grande,7.8275,1.3964,0.1215,9.3454
