Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
454,Falcon1024,pequeño,23.7357,2.4701,0.1090,26.3148
455,Falcon1024,pequeño,39.0303,2.4484,0.1078,41.5865
456,Falcon1024,pequeño,22.4430,2.4621,0.1128,25.0179
457,Falcon1024,pequeño,39.0502,2.5019,0.1089,41.6610
458,Falcon1024,pequeño,22.4584,2.5047,0.1086,25.0717
459,Falcon1024,pequeño,24.2593,2.4553,0.1099,26.8245
460,Falcon1024,pequeño,23.1197,2.4974,0.1103,25.7274
461,Falcon1024,pequeño,39.4775,2.5524,0.1092,42.1391
462,Falcon1024,pequeño,45.5337,2.5071,0.1087,48.1495
463,Falcon1024,pequeño,30.9078,2.4805,0.1067,33.4950
464,Falcon1024,pequeño,25.4796,2.5128,0.1121,28.1045
465,Falcon1024,pequeño,40.5178,2.3930,0.1084,43.0192
466,Falcon1024,pequeño,26.0389,2.5524,0.1093,28.7006
467,Falcon1024,pequeño,22.0272,2.5472,0.1164,24.6908
468,Falcon1024,pequeño,26.3595,2.5963,0.1082,29.0640
469,Falcon1024,pequeño,21.6577,2.5486,0.1095,24.3158
470,Falcon1024,pequeño,40.6399,2.4743,0.1107,43.2249
471,Falcon1024,pequeño,27.6242,2.3756,0.1206,30.1204
472,Falcon1024,pequeño,35.8113,2.4160,0.1086,38.3359
473,Falcon1024,pequeño,49.5343,2.4500,0.1108,52.0951
474,Falcon1024,pequeño,25.5694,2.4673,0.1094,28.1461
475,Falcon1024,pequeño,23.1431,2.5421,0.1097,25.7949
476,Falcon1024,pequeño,50.5380,2.5549,0.1081,53.2010
477,Falcon1024,pequeño,36.1741,2.4542,0.1093,38.7376
478,Falcon1024,pequeño,46.9911,2.4422,0.1099,49.5432
479,Falcon1024,pequeño,22.8180,2.4765,0.1094,25.4039
480,Falcon1024,pequeño,24.3702,2.4511,0.1096,26.9309
481,Falcon1024,pequeño,53.7912,2.4664,0.1167,56.3743
482,Falcon1024,pequeño,27.8543,2.4504,0.1101,30.4148
483,Falcon1024,pequeño,40.0868,2.5444,0.1083,42.7395
484,Falcon1024,pequeño,38.5424,2.4172,0.1078,41.0674
485,Falcon1024,pequeño,52.1246,2.4688,0.1078,54.7012
486,Falcon1024,pequeño,23.0432,2.4902,0.1091,25.6425
487,Falcon1024,pequeño,42.4559,2.4847,0.1110,45.0516
488,Falcon1024,pequeño,22.3680,2.4443,0.1085,24.9208
489,Falcon1024,pequeño,80.4237,2.6237,0.1121,83.1595
490,Falcon1024,pequeño,32.8801,2.5452,0.1092,35.5345
491,Falcon1024,pequeño,47.5052,2.4669,0.1094,50.0815
492,Falcon1024,pequeño,23.7659,2.5919,0.1116,26.4694
493,Falcon1024,pequeño,39.8151,2.4905,0.1076,42.4132
494,Falcon1024,pequeño,52.4934,2.4746,0.1237,55.0917
495,Falcon1024,pequeño,23.1486,2.4999,0.1098,25.7583
496,Falcon1024,pequeño,22.8802,2.4451,0.1103,25.4356
497,Falcon1024,pequeño,22.7470,2.5015,0.1075,25.3560
498,Falcon1024,pequeño,22.4584,2.5719,0.1159,25.1462
499,Falcon1024,pequeño,24.3929,2.4596,0.1104,26.9629
500,Falcon1024,pequeño,28.9951,2.4601,0.1081,31.5633
501,Falcon1024,pequeño,22.9392,2.4730,0.1089,25.5211
502,Falcon1024,pequeño,29.2290,2.5347,0.1152,31.8789
503,Falcon1024,pequeño,61.3820,2.4512,0.1177,63.9509
504,Falcon1024,pequeño,35.9712,2.4991,0.1088,38.5791
505,Falcon1024,pequeño,36.8053,2.4851,0.1122,39.4026
506,Falcon1024,pequeño,27.6854,2.3939,0.1115,30.1908
507,Falcon1024,pequeño,41.4360,2.5029,0.1096,44.0485
508,Falcon1024,pequeño,22.3719,2.4882,0.1093,24.9694
509,Falcon1024,pequeño,27.0208,2.4850,0.1091,29.6149
510,Falcon1024,pequeño,22.6936,2.4585,0.1071,25.2592
511,Falcon1024,pequeño,34.8199,2.5212,0.1188,37.4599
512,Falcon1024,pequeño,25.8183,2.4633,0.1083,28.3899
513,Falcon1024,pequeño,23.1989,2.4917,0.1769,25.8675
514,Falcon1024,pequeño,28.3422,2.5593,0.1070,31.0085
515,Falcon1024,pequeño,24.1085,2.4582,0.1086,26.6753
516,Falcon1024,pequeño,21.6835,2.4644,0.1079,24.2558
517,Falcon1024,pequeño,38.2213,2.4155,0.1088,40.7456
518,Falcon1024,pequeño,28.7185,2.5282,0.1108,31.3575
519,Falcon1024,pequeño,55.1174,2.4639,0.1074,57.6887
520,Falcon1024,pequeño,28.4940,2.6967,0.1096,31.3003
521,Falcon1024,pequeño,31.5909,2.5236,0.1178,34.2323
522,Falcon1024,pequeño,22.5522,2.4665,0.1080,25.1267
523,Falcon1024,pequeño,32.9114,2.3974,0.1090,35.4178
524,Falcon1024,pequeño,29.7701,2.4301,0.1164,32.3166
525,Falcon1024,pequeño,26.9276,2.4675,0.1087,29.5038
526,Falcon1024,pequeño,23.0529,2.4982,0.1094,25.6605
527,Falcon1024,pequeño,21.7145,2.4659,0.1084,24.2888
528,Falcon1024,pequeño,36.0886,2.5198,0.1115,38.7199
529,Falcon1024,pequeño,26.6453,2.4891,0.1084,29.2428
530,Falcon1024,pequeño,24.0738,2.4739,0.1081,26.6558
531,Falcon1024,pequeño,24.2538,2.5396,0.1083,26.9017
532,Falcon1024,pequeño,57.5857,2.4831,0.1090,60.1778
533,Falcon1024,pequeño,23.1687,2.5771,0.1090,25.8548
534,Falcon1024,pequeño,26.0318,2.5266,0.1105,28.6689
535,Falcon1024,pequeño,44.2600,2.4809,0.1156,46.8565
536,Falcon1024,pequeño,26.4605,2.4523,0.1111,29.0239
537,Falcon1024,pequeño,33.4276,2.3953,0.1100,35.9329
538,Falcon1024,pequeño,26.1954,2.5122,0.1180,28.8256
539,Falcon1024,pequeño,30.1769,2.4398,0.1101,32.7268
540,Falcon1024,pequeño,24.2660,2.4770,0.1092,26.8522
541,Falcon1024,pequeño,27.6904,2.4904,0.1178,30.2986
542,Falcon1024,pequeño,36.5552,2.4368,0.1144,39.1064
