Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
362,0.1140,0.5020,0.1310,0.7470
363,0.1120,0.8300,0.1300,1.0720
364,0.1110,0.7200,0.1300,0.9610
365,0.1350,1.6060,0.1300,1.8710
366,0.1130,1.8270,0.1300,2.0700
367,0.1110,0.2250,0.1300,0.4660
368,0.1110,0.7050,0.1310,0.9470
369,0.1140,0.3090,0.1290,0.5520
370,0.1120,0.2250,0.1290,0.4660
371,0.1120,0.3300,0.1290,0.5710
372,0.1120,0.9790,0.1310,1.2220
373,0.1120,1.3100,0.1310,1.5530
374,0.1120,0.2260,0.1310,0.4690
375,0.1130,0.5580,0.1310,0.8020
376,0.1130,0.2270,0.1300,0.4700
377,0.1120,0.8880,0.1290,1.1290
378,0.1110,0.3070,0.1280,0.5460
379,0.1140,0.2270,0.1320,0.4730
380,0.1150,0.9410,0.1330,1.1890
381,0.1140,0.2250,0.1290,0.4680
382,0.1110,0.5150,0.1290,0.7550
383,0.1110,0.3070,0.1300,0.5480
384,0.1110,0.4960,0.1300,0.7370
385,0.1260,0.9990,0.1290,1.2540
386,0.1100,0.8110,0.1300,1.0510
387,0.1120,0.9510,0.1510,1.2140
388,0.1270,0.2300,0.1310,0.4880
389,0.1130,1.0440,0.1290,1.2860
390,0.1140,0.4520,0.1370,0.7030
391,0.1150,0.5300,0.1520,0.7970
392,0.1140,0.2350,0.1460,0.4950
393,0.1140,0.6800,0.1320,0.9260
394,0.1130,0.2250,0.1300,0.4680
395,0.1160,0.2270,0.1300,0.4730
396,0.1130,0.5000,0.1470,0.7600
397,0.1130,0.5000,0.1310,0.7440
398,0.1120,0.7120,0.1330,0.9570
399,0.1140,0.2270,0.1290,0.4700
400,0.1130,0.2260,0.1300,0.4690
401,0.1120,0.4130,0.1290,0.6540
402,0.1150,0.2280,0.1360,0.4790
403,0.1150,0.3380,0.1380,0.5910
404,0.1160,0.8460,0.1310,1.0930
405,0.1110,0.3280,0.1290,0.5680
406,0.1120,0.5170,0.1320,0.7610
407,0.1210,0.4310,0.1310,0.6830
408,0.1100,0.3280,0.1290,0.5670
409,0.1110,0.2240,0.1290,0.4640
410,0.1090,1.2500,0.1630,1.5220
411,0.1180,0.2350,0.1310,0.4840
412,0.1160,0.4140,0.1300,0.6600
413,0.1120,0.3090,0.1300,0.5510
414,0.1130,0.2270,0.1310,0.4710
415,0.1120,0.3090,0.1310,0.5520
416,0.1110,0.4490,0.1340,0.6940
417,0.1140,0.2290,0.1310,0.4740
418,0.1260,0.4010,0.1310,0.6580
419,0.1120,0.4130,0.1290,0.6540
420,0.1120,0.6000,0.1290,0.8410
421,0.1100,0.7500,0.1320,0.9920
422,0.1120,0.4120,0.1290,0.6530
423,0.1120,0.6410,0.1320,0.8850
424,0.1100,0.3070,0.1280,0.5450
425,0.1090,0.8040,0.1290,1.0420
426,0.1120,0.5900,0.1320,0.8340
427,0.1150,0.6060,0.1310,0.8520
428,0.1130,0.6880,0.1320,0.9330
429,0.1140,0.3110,0.1600,0.5850
430,0.1130,0.4380,0.1310,0.6820
431,0.1140,0.3320,0.1310,0.5770
432,0.1110,0.8970,0.1310,1.1390
433,0.1120,0.4320,0.1300,0.6740
434,0.1110,0.4380,0.1350,0.6840
435,0.1150,0.2320,0.1340,0.4810
436,0.1120,0.2250,0.1300,0.4670
437,0.1110,1.4250,0.1330,1.6690
438,0.1200,0.2410,0.1320,0.4930
439,0.1160,0.2260,0.1300,0.4720
440,0.1140,0.6800,0.1290,0.9230
441,0.1120,0.2270,0.1290,0.4680
442,0.1100,0.5070,0.1560,0.7730
443,0.1120,0.2500,0.1290,0.4910
444,0.1130,0.5270,0.1340,0.7740
445,0.1100,1.1040,0.1290,1.3430
446,0.1110,0.5520,0.1520,0.8150
447,0.1960,0.6260,0.1340,0.9560
448,0.1120,0.5160,0.1310,0.7590
449,0.1110,1.3480,0.1290,1.5880
450,0.1120,0.3990,0.1300,0.6410
451,0.1110,0.3080,0.1300,0.5490
452,0.1100,0.4940,0.1290,0.7330
453,0.1110,0.3900,0.1290,0.6300
454,0.1130,0.4110,0.1340,0.6580
455,0.1120,0.2340,0.1310,0.4770
456,0.1110,0.2280,0.1300,0.4690
457,0.1120,0.6610,0.1310,0.9040
458,0.1100,0.6080,0.1390,0.8570
459,0.1150,0.3350,0.1330,0.5830
460,0.1150,0.3530,0.1580,0.6260
461,0.1220,0.9390,0.1470,1.2080
462,0.1150,0.4390,0.1310,0.6850
463,0.1120,0.5160,0.1360,0.7640
464,0.1130,1.8200,0.1410,2.0740
465,0.1170,0.2330,0.1320,0.4820
466,0.1260,0.3580,0.1420,0.6260
467,0.1320,1.6960,0.1410,1.9690
468,0.1220,0.4680,0.1540,0.7440
469,0.1390,0.3560,0.1520,0.6470
470,0.1190,0.3330,0.1400,0.5920
471,0.1260,0.2820,0.1320,0.5400
472,0.1170,0.6010,0.1370,0.8550
473,0.1190,0.9550,0.1400,1.2140
474,0.1180,0.6210,0.1360,0.8750
475,0.1250,0.2430,0.1370,0.5050
476,0.1220,1.4900,0.1400,1.7520
477,0.1230,0.4240,0.1400,0.6870
478,0.1180,2.5650,0.1520,2.8350
479,0.1210,0.3340,0.1400,0.5950
480,0.1200,0.3200,0.1700,0.6100
481,0.1210,0.2470,0.1350,0.5030
482,0.1400,0.6770,0.1360,0.9530
483,0.1210,0.4160,0.1390,0.6760
484,0.1380,0.2460,0.1730,0.5570
485,0.1270,0.4590,0.1410,0.7270
486,0.1170,0.6210,0.1430,0.8810
487,0.1270,1.3910,0.1850,1.7030
488,0.1170,0.5610,0.1340,0.8120
489,0.1220,0.8380,0.1400,1.1000
490,0.1150,0.2340,0.1310,0.4800
491,0.1200,0.5200,0.1300,0.7700
492,0.1370,0.3970,0.1300,0.6640
493,0.1120,0.3900,0.1290,0.6310
494,0.1110,1.0510,0.1290,1.2910
495,0.1110,0.3270,0.1290,0.5670
496,0.1100,0.6200,0.1290,0.8590
497,0.1110,1.1190,0.1320,1.3620
498,0.1120,0.3530,0.1290,0.5940
499,0.1100,0.2240,0.1290,0.4630
500,0.1130,0.6800,0.1310,0.9240
501,0.1100,0.2250,0.1290,0.4640
502,0.1090,0.3900,0.1290,0.6280
503,0.1120,0.3060,0.1340,0.5520
504,0.1120,0.2240,0.1290,0.4650
505,0.1110,0.4100,0.1290,0.6500
506,0.1090,0.3060,0.1290,0.5440
507,0.1110,0.2280,0.1310,0.4700
508,0.1110,0.2250,0.1300,0.4660
509,0.1110,0.8480,0.1300,1.0890
510,0.1120,0.5960,0.1380,0.8460
511,0.1120,0.3280,0.1300,0.5700
512,0.1100,1.2270,0.1290,1.4660
513,0.1120,0.3290,0.1310,0.5720
514,0.1130,0.4110,0.1320,0.6560
515,0.1110,1.0330,0.1290,1.2730
516,0.1110,0.4110,0.1300,0.6520
517,0.1110,0.5960,0.1300,0.8370
518,0.1170,0.4310,0.1320,0.6800
519,0.1130,0.3080,0.1290,0.5500
520,0.1100,0.2230,0.1290,0.4620
521,0.1100,0.5950,0.1290,0.8340
522,0.1110,0.9870,0.1290,1.2270
523,0.1110,0.4930,0.1290,0.7330
524,0.1110,1.0990,0.1290,1.3390
525,0.1110,0.8850,0.1290,1.1250
526,0.1120,0.2290,0.1290,0.4700
527,0.1110,0.2240,0.1290,0.4640
528,0.1120,0.4910,0.1290,0.7320
529,0.1090,0.3270,0.1290,0.5650
530,0.1110,1.1550,0.1290,1.3950
531,0.1120,0.9100,0.1290,1.1510
532,0.1120,0.2240,0.1290,0.4650
533,0.1110,0.2240,0.1290,0.4640
534,0.1090,0.2240,0.1290,0.4620
535,0.1120,1.1180,0.1290,1.3590
536,0.1120,1.1160,0.1290,1.3570
537,0.1110,0.7670,0.1310,1.0090
538,0.1120,0.2260,0.1300,0.4680
539,0.1210,1.0480,0.1320,1.3010
540,0.1120,0.2240,0.1290,0.4650
541,0.1110,0.4730,0.1290,0.7130
542,0.1100,0.3060,0.1280,0.5440
543,0.1110,0.2240,0.1290,0.4640
544,0.1130,0.4920,0.1280,0.7330
545,0.1120,1.0120,0.1290,1.2530
546,0.1110,0.5140,0.1290,0.7540
547,0.1110,0.2240,0.1290,0.4640
548,0.1130,0.3940,0.1300,0.6370
549,0.1120,0.7410,0.1290,0.9820
550,0.1100,1.9790,0.1290,2.2180
551,0.1110,0.5160,0.1290,0.7560
552,0.1130,0.2250,0.1290,0.4670
553,0.1100,0.8650,0.1310,1.1060
554,0.1210,0.2300,0.1310,0.4820
555,0.1120,0.2310,0.1330,0.4760
556,0.1170,0.2420,0.1360,0.4950
557,0.1220,0.4200,0.1330,0.6750
558,0.1130,0.7250,0.1300,0.9680
559,0.1140,0.2280,0.1300,0.4720
560,0.1270,0.2340,0.1490,0.5100
561,0.1130,0.4970,0.1310,0.7410
562,0.1130,0.4740,0.1300,0.7170
563,0.1130,0.2250,0.1300,0.4680
564,0.1110,0.4750,0.1300,0.7160
565,0.1110,0.4130,0.1350,0.6590
566,0.1210,0.9910,0.1440,1.2560
567,0.1130,0.3290,0.1310,0.5730
568,0.1270,0.5080,0.1300,0.7650
569,0.1130,0.6990,0.1300,0.9420
570,0.1130,0.2260,0.1300,0.4690
571,0.1120,1.9180,0.1300,2.1600
572,0.1250,0.7260,0.1370,0.9880
573,0.1200,0.6820,0.1320,0.9340
574,0.1290,0.7100,0.1310,0.9700
575,0.1190,0.8560,0.1500,1.1250
576,0.1170,1.9730,0.1380,2.2280
577,0.1220,0.2400,0.1350,0.4970
578,0.1110,1.8240,0.1330,2.0680
579,0.1130,0.3300,0.1310,0.5740
580,0.1140,0.4120,0.1310,0.6570
581,0.1140,0.2250,0.1300,0.4690
582,0.1300,0.7340,0.1330,0.9970
583,0.1120,0.5850,0.1340,0.8310
584,0.1130,0.3080,0.1290,0.5500
585,0.1110,0.3120,0.1380,0.5610
586,0.1120,0.2290,0.1300,0.4710
587,0.1130,0.3250,0.1360,0.5740
588,0.1130,0.7830,0.1320,1.0280
