Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
794,0.1180,0.3080,0.1350,0.5610
795,0.1160,0.3430,0.1350,0.5940
796,0.1160,0.3340,0.1340,0.5840
797,0.1160,0.2270,0.1330,0.4760
798,0.1160,0.3150,0.1330,0.5640
799,0.1130,0.4140,0.1340,0.6610
800,0.1160,0.6530,0.1350,0.9040
801,0.1330,0.2320,0.1360,0.5010
802,0.1160,0.9560,0.1360,1.2080
803,0.1160,0.3130,0.1350,0.5640
804,0.1170,0.2250,0.1350,0.4770
805,0.1170,0.6200,0.1390,0.8760
806,0.1200,0.6110,0.1360,0.8670
807,0.1160,0.7690,0.1440,1.0290
808,0.1150,0.5910,0.1360,0.8420
809,0.1180,0.3390,0.1390,0.5960
810,0.1250,0.6080,0.1360,0.8690
811,0.1150,0.3120,0.1350,0.5620
812,0.1140,0.2300,0.1390,0.4830
813,0.1170,0.3150,0.1350,0.5670
814,0.1150,0.6720,0.1350,0.9220
815,0.1150,0.4140,0.1350,0.6640
816,0.1160,0.2290,0.1350,0.4800
817,0.1150,0.3320,0.1380,0.5850
818,0.1140,0.8320,0.1390,1.0850
819,0.1150,1.2170,0.1360,1.4680
820,0.1160,0.3080,0.1330,0.5570
821,0.1130,0.3100,0.1340,0.5570
822,0.1170,0.2320,0.1360,0.4850
823,0.1140,0.9520,0.1340,1.2000
824,0.1170,0.4990,0.1360,0.7520
825,0.1130,0.4150,0.1350,0.6630
826,0.1150,0.4410,0.1350,0.6910
827,0.1150,0.2260,0.1390,0.4800
828,0.1190,0.6470,0.1350,0.9010
829,0.1160,0.7230,0.1440,0.9830
830,0.1180,0.4130,0.1340,0.6650
831,0.1150,0.6940,0.1370,0.9460
832,0.1180,0.3290,0.1330,0.5800
833,0.1140,0.6960,0.1340,0.9440
834,0.1180,0.5740,0.1360,0.8280
835,0.1150,0.5000,0.1340,0.7490
836,0.1320,0.7880,0.1340,1.0540
837,0.1130,0.3890,0.1350,0.6370
838,0.1170,0.6050,0.1350,0.8570
839,0.1140,0.2310,0.1350,0.4800
840,0.1190,0.6860,0.1370,0.9420
841,0.1150,0.2260,0.1330,0.4740
842,0.1150,0.3080,0.1330,0.5560
843,0.1150,0.6960,0.1340,0.9450
844,0.1150,0.5800,0.1350,0.8300
845,0.1150,0.4110,0.1340,0.6600
846,0.1170,1.1950,0.1530,1.4650
847,0.1170,0.3950,0.1360,0.6480
848,0.1140,0.2290,0.1380,0.4810
849,0.1210,0.4950,0.1350,0.7510
850,0.1160,0.3080,0.1350,0.5590
851,0.1150,0.4110,0.1350,0.6610
852,0.1170,1.2740,0.1370,1.5280
853,0.1220,0.3310,0.1340,0.5870
854,0.1170,1.9060,0.1360,2.1590
855,0.1160,0.5340,0.1350,0.7850
856,0.1190,0.6910,0.1350,0.9450
857,0.1140,0.7590,0.1350,1.0080
858,0.1160,0.2300,0.1350,0.4810
859,0.1160,0.7620,0.1340,1.0120
860,0.1200,0.7410,0.1350,0.9960
861,0.1150,0.3960,0.1350,0.6460
862,0.1170,0.3320,0.1350,0.5840
863,0.1150,0.2280,0.1460,0.4890
864,0.1150,0.2270,0.1340,0.4760
865,0.1210,0.6280,0.1370,0.8860
866,0.1180,0.3130,0.1350,0.5660
867,0.1150,1.0630,0.1350,1.3130
868,0.1150,0.3920,0.1340,0.6410
869,0.1160,0.2300,0.1350,0.4810
870,0.1160,0.4750,0.1350,0.7260
871,0.1150,0.4920,0.1350,0.7420
872,0.1160,0.4110,0.1350,0.6620
873,0.1160,0.6840,0.1340,0.9340
874,0.1180,0.7590,0.1330,1.0100
875,0.1180,0.9420,0.1330,1.1930
876,0.1160,0.5540,0.1350,0.8050
877,0.1150,0.2270,0.1330,0.4750
878,0.1220,0.5740,0.1350,0.8310
879,0.1150,0.6120,0.1340,0.8610
880,0.1130,0.5920,0.1330,0.8380
881,0.1150,0.7020,0.1340,0.9510
882,0.1160,0.4940,0.1350,0.7450
883,0.1150,0.3900,0.1350,0.6400
884,0.1150,0.4120,0.1350,0.6620
885,0.1160,0.7400,0.1360,0.9920
886,0.1160,0.2270,0.1380,0.4810
887,0.1140,0.3280,0.1330,0.5750
888,0.1150,0.2260,0.1330,0.4740
889,0.1160,0.9040,0.1340,1.1540
890,0.1150,0.3890,0.1330,0.6370
891,0.1180,0.8120,0.1340,1.0640
892,0.1180,1.3960,0.1330,1.6470
893,0.1130,0.4090,0.1340,0.6560
894,0.1170,0.5990,0.1350,0.8510
895,0.1150,0.2290,0.1350,0.4790
896,0.1160,0.3980,0.1350,0.6490
897,0.1170,0.5210,0.1360,0.7740
898,0.1140,0.3150,0.1360,0.5650
899,0.1170,0.6210,0.1380,0.8760
900,0.1160,0.4020,0.1370,0.6550
901,0.1150,0.3140,0.1350,0.5640
902,0.1150,0.3130,0.1370,0.5650
903,0.1150,0.2300,0.1350,0.4800
904,0.1140,0.6090,0.1330,0.8560
905,0.1140,0.3090,0.1330,0.5560
906,0.1150,0.2280,0.1340,0.4770
907,0.1140,0.5120,0.1330,0.7590
908,0.1160,0.2290,0.1340,0.4790
909,0.1160,0.5790,0.1430,0.8380
910,0.1160,0.4290,0.1370,0.6820
911,0.1150,0.3150,0.1340,0.5640
912,0.1150,0.9690,0.1330,1.2170
913,0.1150,0.3090,0.1340,0.5580
914,0.1160,0.3130,0.1330,0.5620
915,0.1140,1.1500,0.1330,1.3970
916,0.1140,0.7790,0.1330,1.0260
917,0.1140,0.5960,0.1360,0.8460
918,0.1130,0.5970,0.1370,0.8470
919,0.1140,0.4100,0.1340,0.6580
920,0.1130,0.2250,0.1340,0.4720
921,0.1150,1.3070,0.1370,1.5590
922,0.1150,0.5560,0.1340,0.8050
923,0.1150,0.2260,0.1330,0.4740
924,0.1130,0.3910,0.1330,0.6370
925,0.1150,0.2250,0.1330,0.4730
926,0.1140,0.2270,0.1330,0.4740
927,0.1130,0.3300,0.1330,0.5760
928,0.1140,0.7620,0.1340,1.0100
929,0.1140,0.3290,0.1330,0.5760
930,0.1130,0.3260,0.1330,0.5720
931,0.1140,0.8820,0.1340,1.1300
932,0.1160,0.7790,0.1350,1.0300
933,0.1160,1.6970,0.1340,1.9470
934,0.1160,0.3300,0.1330,0.5790
935,0.1150,0.4090,0.1330,0.6570
936,0.1130,0.2260,0.1350,0.4740
937,0.1140,0.9230,0.1330,1.1700
938,0.1140,0.3080,0.1330,0.5550
939,0.1140,0.2310,0.1340,0.4790
940,0.1150,0.2260,0.1330,0.4740
941,0.1140,0.6140,0.1340,0.8620
942,0.1160,0.4310,0.1340,0.6810
943,0.1150,1.3180,0.1330,1.5660
944,0.1140,0.8450,0.1340,1.0930
945,0.1140,0.4300,0.1330,0.6770
946,0.1160,0.3300,0.1330,0.5790
947,0.1150,0.2270,0.1340,0.4760
948,0.1150,0.5760,0.1330,0.8240
949,0.1140,0.5110,0.1330,0.7580
950,0.1140,0.4920,0.1330,0.7390
951,0.1140,0.2250,0.1330,0.4720
952,0.1140,0.5540,0.1330,0.8010
953,0.1150,0.2270,0.1330,0.4750
954,0.1130,1.7880,0.1340,2.0350
955,0.1160,1.3810,0.1340,1.6310
956,0.1150,0.5960,0.1330,0.8440
957,0.1140,0.3280,0.1340,0.5760
958,0.1150,0.2270,0.1340,0.4760
959,0.1140,0.2260,0.1330,0.4730
960,0.1150,0.9290,0.1340,1.1780
961,0.1140,0.3290,0.1330,0.5760
962,0.1150,0.2270,0.1330,0.4750
963,0.1150,0.4110,0.1330,0.6590
964,0.1140,0.2260,0.1330,0.4730
965,0.1140,0.3310,0.1340,0.5790
966,0.1140,0.3920,0.1330,0.6390
967,0.1140,0.3090,0.1330,0.5560
968,0.1150,0.2270,0.1330,0.4750
969,0.1150,0.9460,0.1340,1.1950
970,0.1140,0.3310,0.1330,0.5780
971,0.1130,0.3090,0.1340,0.5560
972,0.1140,0.3280,0.1330,0.5750
973,0.1120,0.5560,0.1330,0.8010
974,0.1150,0.3910,0.1330,0.6390
975,0.1150,0.2260,0.1350,0.4760
