Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
744,Dilithium2,0.1031,0.5559,0.1104,0.7694
745,Dilithium2,0.1037,0.5687,0.1097,0.7821
746,Dilithium2,0.1023,2.1657,0.1190,2.3870
747,Dilithium2,0.1099,0.2784,0.1112,0.4995
748,Dilithium2,0.1067,0.5456,0.1121,0.7644
749,Dilithium2,0.1089,0.2558,0.1121,0.4768
750,Dilithium2,0.1041,0.8210,0.1112,1.0363
751,Dilithium2,0.1057,0.9066,0.1117,1.1240
752,Dilithium2,0.1047,0.7414,0.1093,0.9554
753,Dilithium2,0.1031,0.9064,0.1149,1.1244
754,Dilithium2,0.1133,0.4474,0.1101,0.6708
755,Dilithium2,0.1045,0.3255,0.1117,0.5417
756,Dilithium2,0.1078,0.5542,0.1148,0.7768
757,Dilithium2,0.1045,1.2385,0.1119,1.4549
758,Dilithium2,0.1045,0.6286,0.1101,0.8432
759,Dilithium2,0.1070,0.5658,0.1136,0.7864
760,Dilithium2,0.1030,0.2687,0.1088,0.4805
761,Dilithium2,0.1041,1.3851,0.1099,1.5991
762,Dilithium2,0.1042,0.1842,0.1095,0.3979
763,Dilithium2,0.1030,0.5676,0.1134,0.7840
764,Dilithium2,0.1023,0.4215,0.1100,0.6338
765,Dilithium2,0.1015,0.5749,0.1112,0.7876
766,Dilithium2,0.1031,0.2693,0.1099,0.4823
767,Dilithium2,0.1082,0.4228,0.1100,0.6410
768,Dilithium2,0.1025,0.3407,0.1100,0.5532
769,Dilithium2,0.1012,0.7369,0.1122,0.9503
770,Dilithium2,0.1805,0.1830,0.1101,0.4736
771,Dilithium2,0.1030,0.1843,0.1096,0.3969
772,Dilithium2,0.1069,0.3510,0.1102,0.5681
773,Dilithium2,0.1015,0.1818,0.1102,0.3935
774,Dilithium2,0.1064,0.7083,0.1097,0.9244
775,Dilithium2,0.1026,0.4197,0.1100,0.6323
776,Dilithium2,0.1039,0.3366,0.1141,0.5546
777,Dilithium2,0.1018,0.1813,0.1100,0.3931
778,Dilithium2,0.1104,0.4129,0.1121,0.6354
779,Dilithium2,0.1021,0.2528,0.1093,0.4642
780,Dilithium2,0.1036,0.2647,0.1127,0.4810
781,Dilithium2,0.1953,0.6409,0.1101,0.9463
782,Dilithium2,0.1064,0.3377,0.1105,0.5546
783,Dilithium2,0.1029,0.3393,0.1136,0.5558
784,Dilithium2,0.1035,0.7129,0.1130,0.9294
785,Dilithium2,0.1015,0.3568,0.1110,0.5693
786,Dilithium2,0.1028,0.1809,0.1096,0.3933
787,Dilithium2,0.1071,0.2654,0.1104,0.4829
788,Dilithium2,0.1107,0.2650,0.1111,0.4868
789,Dilithium2,0.1082,0.1829,0.1103,0.4014
790,Dilithium2,0.1026,0.2546,0.1140,0.4712
791,Dilithium2,0.1034,0.4557,0.1120,0.6711
792,Dilithium2,0.1039,1.1002,0.1140,1.3181
793,Dilithium2,0.1051,0.9511,0.1136,1.1698
794,Dilithium2,0.1021,0.3237,0.1107,0.5365
795,Dilithium2,0.1965,0.7017,0.1104,1.0086
796,Dilithium2,0.1042,0.1820,0.1104,0.3966
797,Dilithium2,0.1055,0.8012,0.1097,1.0164
798,Dilithium2,0.1105,0.2530,0.1095,0.4730
799,Dilithium2,0.1021,0.2770,0.1111,0.4902
800,Dilithium2,0.1083,0.1814,0.1101,0.3998
801,Dilithium2,0.1019,0.2527,0.1104,0.4650
802,Dilithium2,0.1018,0.2562,0.1102,0.4682
803,Dilithium2,0.1028,0.1811,0.1089,0.3928
804,Dilithium2,0.1017,0.4779,0.1091,0.6887
805,Dilithium2,0.1029,1.4909,0.1145,1.7083
806,Dilithium2,0.1042,0.4804,0.1094,0.6940
807,Dilithium2,0.1042,0.3563,0.1091,0.5696
808,Dilithium2,0.1043,0.3224,0.2005,0.6272
809,Dilithium2,0.1078,0.3265,0.1099,0.5442
810,Dilithium2,0.1032,0.3513,0.1142,0.5687
811,Dilithium2,0.1017,0.4793,0.1091,0.6901
812,Dilithium2,0.1019,0.2696,0.1087,0.4802
813,Dilithium2,0.1024,0.2653,0.1089,0.4766
814,Dilithium2,0.1939,0.7280,0.1099,1.0318
815,Dilithium2,0.1037,0.1842,0.1095,0.3974
816,Dilithium2,0.1015,0.7979,0.1088,1.0082
817,Dilithium2,0.1028,1.3926,0.1116,1.6070
818,Dilithium2,0.1048,2.0388,0.1133,2.2569
819,Dilithium2,0.1031,0.4361,0.1105,0.6497
820,Dilithium2,0.2133,0.6445,0.1099,0.9677
821,Dilithium2,0.1037,0.1851,0.1137,0.4025
822,Dilithium2,0.1024,0.1814,0.1098,0.3936
823,Dilithium2,0.1024,0.2567,0.1091,0.4682
824,Dilithium2,0.1127,0.6630,0.1204,0.8961
825,Dilithium2,0.2028,0.5104,0.1103,0.8235
826,Dilithium2,0.1025,0.1852,0.1139,0.4016
827,Dilithium2,0.1033,0.1810,0.1094,0.3937
828,Dilithium2,0.1037,0.4752,0.1107,0.6896
829,Dilithium2,0.1022,0.2671,0.1103,0.4796
830,Dilithium2,0.1033,1.0219,0.1106,1.2358
831,Dilithium2,0.1026,0.8536,0.1102,1.0664
832,Dilithium2,0.1082,0.6537,0.1109,0.8728
833,Dilithium2,0.1067,0.2705,0.2070,0.5842
834,Dilithium2,0.1032,0.4240,0.1144,0.6416
835,Dilithium2,0.1024,0.6379,0.1143,0.8546
836,Dilithium2,0.1033,0.5701,0.1103,0.7837
837,Dilithium2,0.1026,0.3518,0.1093,0.5637
838,Dilithium2,0.1991,0.2554,0.1098,0.5643
839,Dilithium2,0.1025,0.1865,0.1099,0.3989
840,Dilithium2,0.1044,0.3249,0.1100,0.5393
841,Dilithium2,0.1076,0.2589,0.1102,0.4767
842,Dilithium2,0.1025,0.1814,0.1094,0.3933
843,Dilithium2,0.1032,0.4195,0.2045,0.7272
844,Dilithium2,0.1042,1.2256,0.1114,1.4412
845,Dilithium2,0.1030,0.7164,0.1103,0.9297
846,Dilithium2,0.1041,0.2691,0.1103,0.4835
847,Dilithium2,0.1034,0.4370,0.1109,0.6513
848,Dilithium2,0.1045,0.8232,0.1105,1.0382
849,Dilithium2,0.1221,0.3378,0.1108,0.5707
850,Dilithium2,0.1034,0.7972,0.1106,1.0112
851,Dilithium2,0.1027,0.5172,0.1110,0.7309
852,Dilithium2,0.1053,0.5711,0.1100,0.7864
853,Dilithium2,0.1073,0.6270,0.1098,0.8441
854,Dilithium2,0.1047,0.1848,0.1099,0.3994
855,Dilithium2,0.1021,0.6528,0.2012,0.9561
856,Dilithium2,0.1035,0.1820,0.1104,0.3959
857,Dilithium2,0.1035,0.1856,0.1101,0.3992
858,Dilithium2,0.1082,0.2558,0.1107,0.4747
859,Dilithium2,0.1033,0.5858,0.1103,0.7994
860,Dilithium2,0.1036,0.1819,0.1101,0.3956
861,Dilithium2,0.1034,0.4440,0.1117,0.6591
862,Dilithium2,0.1054,0.1822,0.1105,0.3981
863,Dilithium2,0.1026,1.0591,0.1138,1.2755
864,Dilithium2,0.1041,0.5781,0.1103,0.7925
865,Dilithium2,0.1062,0.9248,0.1101,1.1411
866,Dilithium2,0.1068,0.2531,0.1095,0.4694
867,Dilithium2,0.1045,0.2523,0.1136,0.4704
868,Dilithium2,0.1047,0.3399,0.1093,0.5539
869,Dilithium2,0.1031,0.2648,0.1097,0.4776
870,Dilithium2,0.1055,0.2862,0.1979,0.5896
871,Dilithium2,0.1037,1.1941,0.1133,1.4111
872,Dilithium2,0.1056,0.2748,0.1107,0.4911
873,Dilithium2,0.1039,0.6304,0.1099,0.8442
874,Dilithium2,0.1029,1.7598,0.1104,1.9731
875,Dilithium2,0.1035,0.1822,0.1105,0.3962
876,Dilithium2,0.1021,0.1813,0.1126,0.3960
877,Dilithium2,0.1028,1.0621,0.1103,1.2752
878,Dilithium2,0.1049,0.8424,0.1099,1.0572
879,Dilithium2,0.1028,0.3948,0.1095,0.6071
880,Dilithium2,0.1068,0.5500,0.1097,0.7665
881,Dilithium2,0.1025,0.6937,0.1103,0.9065
882,Dilithium2,0.1038,0.3410,0.1096,0.5544
883,Dilithium2,0.1026,0.4831,0.1111,0.6968
884,Dilithium2,0.1096,0.4959,0.1109,0.7164
885,Dilithium2,0.1017,0.6336,0.2025,0.9378
886,Dilithium2,0.1050,0.7148,0.1097,0.9295
887,Dilithium2,0.1030,0.7536,0.1105,0.9671
888,Dilithium2,0.1039,0.2541,0.1133,0.4713
889,Dilithium2,0.1052,0.5525,0.2022,0.8599
890,Dilithium2,0.1066,0.5821,0.1109,0.7996
891,Dilithium2,0.1076,0.4309,0.1121,0.6506
892,Dilithium2,0.1062,0.4155,0.1213,0.6430
893,Dilithium2,0.1049,0.6093,0.1116,0.8258
894,Dilithium2,0.1045,0.4799,0.1124,0.6968
895,Dilithium2,0.1061,0.1855,0.1117,0.4033
896,Dilithium2,0.1079,0.5230,0.1125,0.7434
897,Dilithium2,0.1073,0.6525,0.1115,0.8713
898,Dilithium2,0.1055,0.8487,0.1124,1.0666
899,Dilithium2,0.1062,0.1843,0.1111,0.4016
900,Dilithium2,0.1132,0.2674,0.1121,0.4927
901,Dilithium2,0.1042,0.1825,0.1115,0.3982
902,Dilithium2,0.1019,1.3403,0.1100,1.5522
903,Dilithium2,0.2042,0.2669,0.1111,0.5822
904,Dilithium2,0.1118,0.6231,0.1100,0.8449
905,Dilithium2,0.1021,0.1851,0.1103,0.3975
906,Dilithium2,0.1039,0.2666,0.1098,0.4803
907,Dilithium2,0.1014,1.2022,0.1154,1.4190
908,Dilithium2,0.1042,0.2536,0.1102,0.4680
909,Dilithium2,0.1034,0.3248,0.1145,0.5427
910,Dilithium2,0.1030,0.4308,0.1104,0.6442
911,Dilithium2,0.1036,1.3305,0.1127,1.5468
912,Dilithium2,0.1051,0.4981,0.1152,0.7184
913,Dilithium2,0.1060,0.6597,0.1109,0.8766
914,Dilithium2,0.1038,0.2549,0.1104,0.4691
915,Dilithium2,0.1262,0.5226,0.1119,0.7607
916,Dilithium2,0.2296,0.4991,0.1127,0.8414
917,Dilithium2,0.1156,0.3993,0.1119,0.6268
918,Dilithium2,0.1050,0.2701,0.1157,0.4908
919,Dilithium2,0.1040,1.6265,0.1110,1.8415
920,Dilithium2,0.1095,0.6247,0.1102,0.8444
921,Dilithium2,0.1039,0.3279,0.1106,0.5424
922,Dilithium2,0.1041,0.9959,0.1101,1.2101
923,Dilithium2,0.1047,0.9313,0.1113,1.1473
924,Dilithium2,0.1062,0.1830,0.1162,0.4054
925,Dilithium2,0.1055,0.2680,0.1118,0.4853
926,Dilithium2,0.1030,0.4212,0.1106,0.6348
927,Dilithium2,0.1054,0.1826,0.1118,0.3998
928,Dilithium2,0.1045,0.4665,0.1103,0.6813
