Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
969,Dilithium5,0.2885,0.8741,0.2934,1.4560
970,Dilithium5,0.2862,0.6029,0.3021,1.1912
971,Dilithium5,0.2806,0.4232,0.4150,1.1188
972,Dilithium5,0.2790,0.7807,0.3009,1.3606
973,Dilithium5,0.2817,0.7694,0.3012,1.3523
974,Dilithium5,0.4284,0.5941,0.3094,1.3319
975,Dilithium5,0.2818,1.2430,0.3022,1.8270
976,Dilithium5,0.3669,0.9055,0.2929,1.5653
977,Dilithium5,0.2799,0.9005,0.2993,1.4797
978,Dilithium5,0.2804,0.8599,0.2975,1.4378
979,Dilithium5,0.2773,1.1122,0.3102,1.6997
980,Dilithium5,0.2925,1.5853,0.3056,2.1834
981,Dilithium5,0.2895,1.3526,0.3001,1.9422
982,Dilithium5,0.2867,1.1835,0.4836,1.9538
983,Dilithium5,0.2873,1.3478,0.3006,1.9357
984,Dilithium5,0.2813,1.4116,0.3000,1.9929
985,Dilithium5,0.2838,0.7195,0.2962,1.2995
986,Dilithium5,0.2773,0.4309,0.2992,1.0074
987,Dilithium5,0.2922,0.7295,0.3028,1.3245
988,Dilithium5,0.5058,1.4168,0.3141,2.2367
989,Dilithium5,0.2895,1.5368,0.2956,2.1219
990,Dilithium5,0.2803,1.2147,0.3042,1.7992
991,Dilithium5,0.2764,0.9619,0.3033,1.5416
992,Dilithium5,0.2891,1.5879,0.3081,2.1851
993,Dilithium5,0.2971,1.7794,0.3082,2.3847
994,Dilithium5,0.2905,0.8741,0.3079,1.4725
995,Dilithium5,0.2994,0.5996,0.2979,1.1969
996,Dilithium5,0.2975,1.2693,0.2968,1.8636
997,Dilithium5,0.2928,1.8451,0.3066,2.4445
998,Dilithium5,0.2914,0.6065,0.2953,1.1932
999,Dilithium5,0.2872,0.6142,0.2985,1.1999
1000,Dilithium5,0.3969,0.4324,0.2958,1.1251
